SubNo,face,n_trials,n_sessions,ability_0_10,warmth_0_10,mean_euclidean_bias,sd_euclidean_bias,mean_rt,accuracy,true_ability,true_warmth,ability_bias,warmth_bias,euclidean_bias_from_mean
2,1,4,1,2.30584554487542,4.557831572433802,0.274394328166611,0.11443003577400135,18.45626618339793,1.0,2.416,4.788,-0.11015445512457989,-0.23016842756619837,0.25516956917330363
2,2,4,1,2.7559282493806805,7.603629170037684,0.20798819764854032,0.17446734397271368,15.649982139093254,1.0,2.789,7.765,-0.03307175061931966,-0.16137082996231555,0.16472487805960892
2,3,4,1,6.452665022362883,8.341293728549626,0.19023990633200355,0.028297657059427453,13.079255500055524,1.0,6.426,8.527,0.026665022362882596,-0.185706271450373,0.1876108810107043
2,4,4,1,8.45210013234045,6.539844001486589,0.42299983896826787,0.092426442363192,17.177002641285753,0.75,8.817,6.716,-0.36489986765955074,-0.17615599851341113,0.40519482873083973
2,5,4,1,4.655056443526638,2.1482147563150455,0.30473744887851406,0.099364138497841,17.644779109707997,1.0,4.894,2.02,-0.2389435564733624,0.12821475631504553,0.2711697750802354
2,6,4,1,7.637105264270565,3.267364444116738,0.15352165010691024,0.07795069577890217,22.823690273745342,1.0,7.659,3.185,-0.021894735729435233,0.08236444411673816,0.0852248854931533
6,1,4,1,3.165043316611553,4.934793758457083,0.7686825162783357,0.12506627481847785,13.345127107841108,0.0,2.416,4.788,0.7490433166115529,0.14679375845708265,0.7632917513522541
6,2,4,1,2.3279816513761467,7.327981651376147,0.6356875091362528,0.11963511435165411,17.98972094766168,0.0,2.789,7.765,-0.4610183486238535,-0.4370183486238526,0.6352345667560796
6,3,4,1,6.112385321100917,8.600917431192661,0.3361608887131282,0.08494467013229567,16.356808494268307,1.0,6.426,8.527,-0.313614678899083,0.07391743119266181,0.3222079351212456
6,4,4,1,8.93348623853211,6.181192660550458,0.5590126946530065,0.16950522523938627,12.665967979223296,0.25,8.817,6.716,0.11648623853210971,-0.5348073394495421,0.5473462652621806
6,5,4,1,4.970268967742837,2.361662369251266,0.3808750550318091,0.1835063916490652,9.663123191098975,0.75,4.894,2.02,0.07626896774283676,0.3416623692512659,0.3500716069648412
6,6,4,1,7.396788990825688,3.256880733944955,0.3593205991813356,0.11795421271914058,16.537594401950855,0.75,7.659,3.185,-0.2622110091743117,0.07188073394495476,0.2718850000361851
8,1,4,1,2.1390374331550803,4.879679144385027,0.3140272698142968,0.11497128719707607,15.457298688792662,1.0,2.416,4.788,-0.2769625668449196,0.09167914438502667,0.29174188754530456
8,2,4,1,4.265405560912339,6.617628737095649,1.9189879102171161,3.343635818783158,21.011028309249696,0.75,2.789,7.765,1.476405560912339,-1.1473712629043504,1.869821968860031
8,3,4,1,6.711229946524064,8.636363636363637,0.3092102147934955,0.18726924484246502,18.976870731979034,0.75,6.426,8.527,0.28522994652406375,0.10936363636363744,0.3054775398499834
8,4,4,1,8.609625668449198,6.537433155080214,0.30997670524678067,0.172185940513378,19.303910766063836,0.75,8.817,6.716,-0.20737433155080254,-0.17856684491978658,0.27366079640816166
8,5,4,1,4.946524064171123,2.0989304812834226,0.12535283644641657,0.10847396784932585,9.191676463792419,1.0,4.894,2.02,0.05252406417112265,0.07893048128342262,0.09480927271467142
8,6,4,1,6.711229946524064,4.211229946524064,1.8605160811114565,3.0910566202425596,19.0153235160642,0.5,7.659,3.185,-0.9477700534759359,1.0262299465240639,1.3969309136133259
9,1,4,1,2.2893855984822475,4.932623196917014,0.35220084056554646,0.19863896295221548,19.74581555582199,0.75,2.416,4.788,-0.12661440151775238,0.14462319691701353,0.19221622137113165
9,2,4,1,3.298668583031807,7.641766488164917,0.5693225124763039,0.36634743627232036,22.226328235500205,0.5,2.789,7.765,0.5096685830318068,-0.12323351183508269,0.5243553785066548
9,3,4,1,6.653309391445107,8.347838405963284,0.3261832450875073,0.21380441500324354,28.567855924597552,0.75,6.426,8.527,0.22730939144510653,-0.1791615940367155,0.2894277737483421
9,4,4,1,8.68021874681795,6.420276424563399,0.37401336000687996,0.12606089169262344,24.26828086276555,1.0,8.817,6.716,-0.13678125318205048,-0.2957235754366012,0.3258244071444915
9,5,4,1,5.013793239143885,2.392344465066398,0.4152610883804536,0.12317464622798564,23.81347773658308,0.5,4.894,2.02,0.11979323914388473,0.37234446506639785,0.39114041060745175
9,6,4,1,7.651320210108346,3.3473456527904717,0.28134644803589615,0.1481684593625369,26.33604813287957,1.0,7.659,3.185,-0.007679789891653854,0.16234565279047164,0.16252719819385406
10,1,4,1,2.5067024128686324,5.040214477211796,0.28063592196493375,0.12039820303145103,10.694253713131957,1.0,2.416,4.788,0.09070241286863245,0.2522144772117958,0.2680281145988445
10,2,4,1,3.0555987137232847,7.412850261859981,0.4470003156625203,0.13196128650472388,13.325386615294065,0.75,2.789,7.765,0.2665987137232846,-0.35214973814001826,0.44168349780243465
10,3,4,1,6.166219839142091,8.806970509383378,0.38931749441716434,0.06797316770471681,11.48960991529384,1.0,6.426,8.527,-0.25978016085790934,0.27997050938337864,0.381928289211142
10,4,4,1,8.900804289544237,7.184986595174263,0.48081234505337,0.08834536783965273,13.653484157865023,0.75,8.817,6.716,0.08380428954423635,0.4689865951742629,0.47641534966787347
10,5,4,1,4.986595174262734,2.117962466487936,0.17022677489456378,0.09772267939284097,7.606945995836895,1.0,4.894,2.02,0.09259517426273423,0.09796246648793616,0.1347980383282566
10,6,4,1,7.4128686327077755,3.0697050938337807,0.3018475674125558,0.10505553790090498,12.431778560970088,1.0,7.659,3.185,-0.2461313672922243,-0.1152949061662194,0.2717969193221607
11,1,4,1,3.2115856612833196,4.198905378324157,1.0786221975073593,1.4940944336729696,13.53539050469135,0.75,2.416,4.788,0.7955856612833196,-0.5890946216758435,0.9899439467601295
11,2,4,1,2.9141147541993693,7.360885384590546,0.4471118147525267,0.08716848148027939,17.087340259336543,0.75,2.789,7.765,0.12511475419936913,-0.4041146154094539,0.42303938836224153
11,3,4,1,5.582304980420181,8.532502225140638,1.2038113768921734,1.5874066742551145,20.89357623473734,0.5,6.426,8.527,-0.843695019579819,0.005502225140638473,0.8437129609916452
11,4,4,1,9.061297004185562,6.377200599013015,0.4365370531023656,0.1149183762233488,20.389713231551923,0.5,8.817,6.716,0.24429700418556166,-0.3387994009869848,0.41769134580833733
11,5,4,1,4.915367224359461,2.390047381066791,0.38078392809640926,0.3495312892519072,11.75832368141755,0.75,4.894,2.02,0.02136722435946048,0.370047381066791,0.37066375937123713
11,6,4,1,7.225398558128611,2.7989254506726398,0.5873437086062682,0.0904513077775002,15.415198585267717,0.25,7.659,3.185,-0.4336014418713887,-0.3860745493273603,0.580571931832113
12,1,4,1,2.5559105431309903,5.063897763578275,0.311213257232791,0.08741303579671762,8.473780174999774,1.0,2.416,4.788,0.13991054313099038,0.2758977635782749,0.30934533458046914
12,2,4,1,3.29073482428115,7.204472843450479,0.7680420398161361,0.05566299400361618,9.408820824999793,0.0,2.789,7.765,0.5017348242811499,-0.5605271565495205,0.7522822124215931
12,3,4,1,6.661341853035143,8.274760383386582,0.35398607559794526,0.0698245226830167,8.486883599999828,1.0,6.426,8.527,0.235341853035143,-0.25223961661341754,0.3449791471658812
12,4,4,1,9.00958466453674,6.533546325878595,0.2973765869458481,0.13333087396667462,10.701705475000153,1.0,8.817,6.716,0.1925846645367404,-0.18245367412140556,0.2652888919934811
12,5,4,1,5.0,1.916932907348243,0.1962209183063374,0.02458785211186301,7.342235300000311,1.0,4.894,2.02,0.10599999999999987,-0.10306709265175695,0.14784730497268397
12,6,4,1,7.77970596256738,2.481890602135793,0.719984238837192,0.3667569860876053,14.1418864999996,0.25,7.659,3.185,0.12070596256738053,-0.7031093978642069,0.7133952304047774
13,1,4,1,2.2625,4.8375,0.16916582340762729,0.052699452126428854,22.183694035825738,1.0,2.416,4.788,-0.15349999999999975,0.0495000000000001,0.16128391116289292
13,2,4,1,2.6125000000000003,7.5,0.32525191538122344,0.14050950876883875,25.30537158369316,1.0,2.789,7.765,-0.17649999999999988,-0.2649999999999997,0.31839794283255
13,3,4,1,6.0748115610287545,8.359229002734816,0.3911081665757661,0.04177847343519856,28.413380683568448,1.0,6.426,8.527,-0.35118843897124563,-0.1677709972651833,0.3892048653221263
13,4,4,1,8.95,6.325,0.4214935968155416,0.07990117098430922,30.823947635575223,0.75,8.817,6.716,0.13299999999999912,-0.391,0.4130012106519783
13,5,4,1,4.95,1.5750000000000002,0.4554368790974711,0.06442824595838323,12.739620283317436,0.75,4.894,2.02,0.05600000000000005,-0.44499999999999984,0.4485097546319365
13,6,4,1,7.6,2.625,0.5684628821390504,0.032781125263661004,19.063069310825995,0.0,7.659,3.185,-0.05900000000000016,-0.56,0.5630994583552714
14,1,4,1,2.428115015974441,4.7923322683706076,0.08870655384330534,0.024833790075913333,11.559781150000163,1.0,2.416,4.788,0.012115015974440979,0.004332268370607295,0.01286631887122049
14,2,4,1,2.8274760383386583,7.236421725239617,0.5372813469413475,0.14693006010495666,15.495185424999363,0.5,2.789,7.765,0.0384760383386582,-0.5285782747603829,0.5299767901284931
14,3,4,1,6.932907348242812,8.594249201277956,0.5133513441131321,0.11660008486696656,12.13986817499972,0.25,6.426,8.527,0.5069073482428115,0.06724920127795642,0.5113487212999384
14,4,4,1,8.993610223642172,6.118210862619808,0.9832348646859697,1.359003750175654,18.460278224999456,0.75,8.817,6.716,0.1766102236421716,-0.5977891373801922,0.6233321938298167
14,5,4,1,4.984025559105431,1.8849840255591057,0.18608283562360245,0.06255807388433117,11.81403012499959,1.0,4.894,2.02,0.09002555910543109,-0.1350159744408943,0.16227727704909795
14,6,4,1,7.587859424920128,3.338658146964857,0.2101517568068591,0.020956395993945276,11.594261375000315,1.0,7.659,3.185,-0.07114057507987148,0.1536581469648568,0.16932751563572992
15,1,4,1,1.7200626872799876,4.835346608794531,0.7080466758993131,0.08974466106390609,12.508014799999728,0.0,2.416,4.788,-0.6959373127200124,0.047346608794530454,0.6975460161167109
15,2,4,1,1.9146790291423685,7.620594840230442,0.8994919715752294,0.3764591658507535,18.744361321796305,0.0,2.789,7.765,-0.8743209708576316,-0.14440515976955748,0.8861659044724655
15,3,4,1,5.071648076419832,7.261288812362976,2.4559067248090227,1.1117869813943722,19.065782736302936,0.0,6.426,8.527,-1.3543519235801682,-1.2657111876370228,1.8537243439667141
15,4,4,1,8.67574653547579,6.83491977139467,0.42296411556909,0.1280292457195723,22.902533079454315,0.75,8.817,6.716,-0.14125346452421006,0.11891977139466992,0.18464683389826328
15,5,4,1,5.362500000000001,1.725,0.5984855946223853,0.15567484502209555,13.698737824999853,0.25,4.894,2.02,0.4685000000000006,-0.29499999999999993,0.553640000361246
15,6,4,1,7.420174722271077,2.5857348215475633,0.6848273810768531,0.4264505897023717,17.0775039250002,0.5,7.659,3.185,-0.2388252777289228,-0.5992651784524368,0.6451017496394875
16,1,4,1,1.9808306709265175,4.936102236421726,0.4606027396386585,0.05110439012555,12.174542874999815,0.75,2.416,4.788,-0.4351693290734824,0.14810223642172549,0.45968099525582024
16,2,4,1,2.9552715654952078,7.651757188498403,0.211942637116668,0.12313579310922317,11.439182050000227,1.0,2.789,7.765,0.1662715654952076,-0.1132428115015971,0.201171985746061
16,3,4,1,6.597444089456869,8.929712460063898,0.4620627022713116,0.07391077669136357,15.05856934999997,0.75,6.426,8.527,0.17144408945686873,0.40271246006389916,0.4376875612813464
16,4,4,1,8.929712460063897,6.485623003194888,0.32227526733880213,0.1967379907404501,15.663511149999977,0.75,8.817,6.716,0.11271246006389646,-0.23037699680511192,0.2564715565332694
16,5,4,1,4.920127795527157,1.9648562300319488,0.15945272316344827,0.16286238088190563,13.360645325000178,1.0,4.894,2.02,0.026127795527156827,-0.05514376996805126,0.06102046431647557
16,6,4,1,7.667731629392971,2.923322683706071,0.2798486246913621,0.06583137377269216,16.843832925000015,1.0,7.659,3.185,0.008731629392971563,-0.261677316293929,0.26182295394913174
17,1,4,1,2.112482869184433,4.536845800546963,0.4252659024739853,0.13577722466705888,25.095468416465337,0.5,2.416,4.788,-0.3035171308155671,-0.25115419945303685,0.3939556835500789
17,2,4,1,3.1500000000000004,7.5375,0.4335374848784342,0.15638094174283226,34.993951344456036,0.5,2.789,7.765,0.3610000000000002,-0.22750000000000004,0.42670510894527636
17,3,4,1,6.425000000000001,8.45,0.21947136617675875,0.09755217016897216,28.166052626835153,1.0,6.426,8.527,-0.0009999999999994458,-0.07699999999999996,0.07700649323271377
17,4,4,1,8.825,6.6875,0.26990248902564884,0.09396911845749968,30.740267880652937,1.0,8.817,6.716,0.007999999999999119,-0.028500000000000192,0.029601520231231318
