face,n_subjects,mean_ability_0_10,sd_ability_0_10,mean_warmth_0_10,sd_warmth_0_10,mean_ability_bias,sd_ability_bias,mean_warmth_bias,sd_warmth_bias,mean_euclidean_bias,sd_euclidean_bias,mean_trial_bias,sd_trial_bias,true_ability,true_warmth,se_ability_0_10,se_warmth_0_10,se_ability_bias,se_warmth_bias,se_euclidean_bias,se_trial_bias
1,26,2.4381109522489885,0.43263548431788146,4.810104837877071,0.28050948110225066,0.02211095224898873,0.43263548431788146,0.022104837877070346,0.2805094811022506,0.38181037727369155,0.3395074657606128,0.426749130876935,0.36042315907777484,2.416,4.788,0.08484679910805934,0.05501243530339087,0.08484679910805934,0.05501243530339086,0.06658289203553074,0.0706847969726281
2,26,2.911974129638656,0.48388553089459885,7.543213052428977,0.5054180042492595,0.12297412963865627,0.48388553089459896,-0.22178694757102205,0.5054180042492594,0.5681397484950325,0.4698755701202609,0.6322317407949464,0.5216254049999433,2.789,7.765,0.09489776016833708,0.09912062562261906,0.0948977601683371,0.09912062562261904,0.09215018080783635,0.10229915841847885
3,26,6.366222563418476,0.41576269491372037,8.436364444235961,0.4217664694363615,-0.05977743658152386,0.4157626949137204,-0.09063555576403882,0.42176646943636137,0.4496629266340263,0.39079486621336607,0.5184871591444833,0.502045477817999,6.426,8.527,0.08153777286111477,0.08271520991673624,0.08153777286111479,0.08271520991673621,0.07664117879360906,0.09845921877326888
4,26,8.699036317278088,0.4698040132121414,6.469261950200957,0.5453471295767914,-0.1179636827219118,0.4698040132121416,-0.24673804979904365,0.5453471295767912,0.5298166459226474,0.5513368268360421,0.6093708309812299,0.5813463865823995,8.817,6.716,0.09213614734357352,0.1069513713613028,0.09213614734357356,0.10695137136130276,0.10812604763843481,0.11401140651308883
5,26,4.967444826435785,0.12489488332322651,2.1159119584479757,0.2605680314970268,0.07344482643578484,0.12489488332322664,0.09591195844797552,0.26056803149702684,0.2677207229589539,0.15533848896032015,0.3065674302520634,0.14017980242802422,4.894,2.02,0.024493901815885618,0.0511015952777615,0.024493901815885646,0.051101595277761515,0.030464384093103456,0.027491521076618338
6,26,7.529002764454329,0.30119450802864683,3.0324711047894795,0.3867696512863413,-0.12999723554567047,0.30119450802864683,-0.15252889521052088,0.3867696512863412,0.4289717699068276,0.3011683303392065,0.48932347490344913,0.3517017056565294,7.659,3.185,0.059069102839424965,0.07585176919902042,0.059069102839424965,0.07585176919902041,0.059063968972145074,0.06897437923486575
