SubNo,Name,Gender,Age,Handedness,face,true_leftBar,true_rightBar,leftBarLength,rightBarLength,error,acc,rt,source,session_square_side_px,session_square_side_px_ls,fit_rmse_px,fit_max_abs_error_px,n_faces,n_trials,true_ability,true_warmth,ability_0_10,warmth_0_10,recorded_true_ability_0_10,recorded_true_warmth_0_10,ability_bias,warmth_bias,euclidean_bias,true_mapping_ability_error,true_mapping_warmth_error
2,lhy,Male,18,Right,1,90,179,86.60185294113757,167.36747446657142,12.118706767618532,1,14.71091801412058,CTtask-2-2026-03-29.mat,374,373.7971867357064,0.0,0.0,6,24,2.416,4.788,2.3155575652710576,4.475066162207792,2.406417112299465,4.786096256684492,-0.10044243472894232,-0.3129338377922082,0.3286582868720001,-0.009582887700534837,-0.001903743315508244
2,lhy,Male,18,Right,1,90,179,86.31923997916374,179.2805219350694,3.6914342587999083,1,18.491643254440532,CTtask-2-2026-03-29.mat,374,373.7971867357064,0.0,0.0,6,24,2.416,4.788,2.3080010689615973,4.793596843183674,2.406417112299465,4.786096256684492,-0.10799893103840263,0.005596843183673705,0.10814385677910827,-0.009582887700534837,-0.001903743315508244
2,lhy,Male,18,Right,1,90,179,86.9577199374912,165.8415658052086,13.505549172003116,1,10.88669284567004,CTtask-2-2026-03-29.mat,374,373.7971867357064,0.0,0.0,6,24,2.416,4.788,2.3250727256013692,4.434266465379909,2.406417112299465,4.786096256684492,-0.09092727439863069,-0.3537335346200914,0.36523305264500266,-0.009582887700534837,-0.001903743315508244
2,lhy,Male,18,Right,1,90,179,85.0756806555703,169.3620410292474,10.82308524071742,1,29.735810619360564,CTtask-2-2026-03-29.mat,374,373.7971867357064,0.0,0.0,6,24,2.416,4.788,2.274750819667655,4.528396818963834,2.406417112299465,4.786096256684492,-0.1412491803323448,-0.25960318103616586,0.2955421163703332,-0.009582887700534837,-0.001903743315508244
2,lhy,Male,18,Right,2,104,290,101.56001578501497,284.3693239439203,6.136614361183666,1,17.071819036900706,CTtask-2-2026-03-29.mat,374,373.7971867357064,0.0,0.0,6,24,2.789,7.765,2.7155084434495977,7.603457859463108,2.7807486631016043,7.754010695187166,-0.0734915565504024,-0.1615421405368913,0.17747358128307925,-0.008251336898395856,-0.010989304812834
2,lhy,Male,18,Right,2,104,290,100.92916405738356,292.32879692327936,3.854001621216628,1,14.659588254440678,CTtask-2-2026-03-29.mat,374,373.7971867357064,0.0,0.0,6,24,2.789,7.765,2.6986407501974212,7.816277992601053,2.7807486631016043,7.754010695187166,-0.09035924980257892,0.05127799260105359,0.10389526721693615,-0.008251336898395856,-0.010989304812834
2,lhy,Male,18,Right,2,104,290,103.65434816520289,273.1060736153266,16.897462054452536,1,16.03502812813076,CTtask-2-2026-03-29.mat,374,373.7971867357064,0.0,0.0,6,24,2.789,7.765,2.7715066354332323,7.302301433564882,2.7807486631016043,7.754010695187166,-0.017493364566767866,-0.462698566435118,0.4630291364320167,-0.008251336898395856,-0.010989304812834
2,lhy,Male,18,Right,2,104,290,106.14333809974843,287.6987293551113,3.144796462548829,1,14.83349313690087,CTtask-2-2026-03-29.mat,374,373.7971867357064,0.0,0.0,6,24,2.789,7.765,2.8380571684424716,7.692479394521693,2.7807486631016043,7.754010695187166,0.04905716844247143,-0.07252060547830652,0.08755480566212911,-0.008251336898395856,-0.010989304812834
2,lhy,Male,18,Right,3,240,319,241.82090998211174,311.09046429372347,8.116431990216979,1,16.640012663210655,CTtask-2-2026-03-29.mat,374,373.7971867357064,0.0,0.0,6,24,6.426,8.527,6.465799732142026,8.317926852773356,6.4171122994652405,8.529411764705882,0.03979973214202559,-0.20907314722664339,0.21282762877462758,-0.008887700534759624,0.0024117647058830016
2,lhy,Male,18,Right,3,240,319,242.24978336205564,312.24978336205567,7.115261754521956,1,13.730276736901033,CTtask-2-2026-03-29.mat,374,373.7971867357064,0.0,0.0,6,24,6.426,8.527,6.477266934814322,8.348924688825019,6.4171122994652405,8.529411764705882,0.051266934814321985,-0.17807531117498065,0.185308162408789,-0.008887700534759624,0.0024117647058830016
