comparison,day_a,day_b,n_subjects,method,mean_difference,sd_difference,normality_shapiro_p,statistic,p_value,measure,omnibus_method,omnibus_statistic,omnibus_p_value,complete_n
day1 vs day2,1,2,25,paired t-test,877.5801730280003,882.082905802562,0.423639714601685,4.9744767031254,4.434673792900217e-05,learning_time_s,Friedman test,22.319999999999993,1.4232250593579948e-05,25
day1 vs day3,1,3,25,paired t-test,1009.79387554,820.9815417752909,0.09256719126184634,6.1499182634266125,2.359454169026602e-06,learning_time_s,Friedman test,22.319999999999993,1.4232250593579948e-05,25
day2 vs day3,2,3,25,Wilcoxon signed-rank test,132.21370251199977,286.5585325634858,0.009758211531363307,62.0,0.005578815937042236,learning_time_s,Friedman test,22.319999999999993,1.4232250593579948e-05,25
day1 vs day2,1,2,26,Wilcoxon signed-rank test,22.307692307692307,34.24589812607546,3.510982034324629e-05,25.5,0.0006173831433738398,trial_count,Friedman test,26.08333333333335,2.1680841367699602e-06,26
day1 vs day3,1,3,26,Wilcoxon signed-rank test,29.512820512820515,38.33098320555152,3.202555391185459e-06,1.0,1.3885568373058784e-05,trial_count,Friedman test,26.08333333333335,2.1680841367699602e-06,26
day2 vs day3,2,3,26,Wilcoxon signed-rank test,7.205128205128205,11.876055058843562,0.0003154426102839092,41.0,0.0031681563524767276,trial_count,Friedman test,26.08333333333335,2.1680841367699602e-06,26
