SubNo,date,source,session_index,total_learning_time_s,return_to_learn_count,total_points,day_index,session_order,square_side_px,square_side_rmse_px,square_side_max_abs_error_px
11,2025-11-23,EPtask_learning-11-2025-11-23.mat,0,1768.7682616000004,3,6958,1,1,400,0.0,0.0
11,2025-11-24,EPtask_learning-11-2025-11-24.mat,0,291.7055813000002,0,1333,2,1,400,0.0,0.0
11,2025-11-25,EPtask_learning-11-2025-11-25.mat,0,79.54162009999982,1,497,3,1,400,0.0,0.0
12,2026-04-10,EPtask_learning-12-2026-04-10.mat,0,1069.3327290000002,3,10201,1,1,373,0.0,0.0
12,2026-04-11,EPtask_learning-12-2026-04-11.mat,0,174.04482590000043,1,1757,2,1,313,0.0,0.0
12,2026-04-12,EPtask_learning-12-2026-04-12.mat,0,31.150929200000007,2,555,3,1,313,0.0,0.0
12,2026-04-12,EPtask_learning-12-2026-04-12-1.mat,1,1.5654903000000786,0,33,3,2,313,0.0,0.0
13,2025-12-04,EPtask_learning-13-2025-12-04.mat,0,396.7914513999999,3,2979,1,1,400,0.0,0.0
13,2025-12-05,EPtask_learning-13-2025-12-05.mat,0,259.27446549999877,3,1551,2,1,400,0.0,0.0
13,2025-12-06,EPtask_learning-13-2025-12-06.mat,0,314.3039804000001,5,2101,3,1,400,0.0,0.0
13,2025-12-06,EPtask_learning-13-2025-12-06-1.mat,1,87.47982230000002,0,655,3,2,400,0.0,0.0
13,2025-12-06,EPtask_learning-13-2025-12-06-2.mat,2,60.5184248999999,0,372,3,3,400,0.0,0.0
14,2026-04-10,EPtask_learning-14-2026-04-10.mat,0,1842.2739242999992,6,9240,1,1,374,0.0,0.0
14,2026-04-11,EPtask_learning-14-2026-04-11.mat,0,318.7504082999985,1,1244,2,1,313,0.0,0.0
14,2026-04-12,EPtask_learning-14-2026-04-12.mat,0,129.31564769999932,0,421,3,1,313,0.0,0.0
14,2026-04-12,EPtask_learning-14-2026-04-12-1.mat,1,89.51223599999867,1,567,3,2,313,0.0,0.0
15,2025-12-04,EPtask_learning-15-2025-12-04.mat,0,560.8145909,2,2514,1,1,400,0.0,0.0
15,2025-12-05,EPtask_learning-15-2025-12-05.mat,0,1328.2408553999994,4,4505,2,1,400,0.0,0.0
15,2025-12-06,EPtask_learning-15-2025-12-06.mat,0,731.9515614999999,3,2092,3,1,400,0.0,0.0
15,2025-12-06,EPtask_learning-15-2025-12-06-1.mat,1,18.821603500000037,3,128,3,2,400,0.0,0.0
15,2025-12-06,EPtask_learning-15-2025-12-06-2.mat,2,2.685724100000243,0,13,3,3,400,0.0,0.0
16,2026-04-10,EPtask_learning-16-2026-04-10.mat,0,923.2185215999998,2,9236,1,1,313,0.0,0.0
16,2026-04-11,EPtask_learning-16-2026-04-11.mat,0,150.7770942000002,0,1860,2,1,313,0.0,0.0
16,2026-04-12,EPtask_learning-16-2026-04-12.mat,0,82.09621850000008,1,839,3,1,313,0.0,0.0
17,2025-12-04,EPtask_learning-17-2025-12-04.mat,0,3.1828779999996186,0,9,1,1,400,0.0,0.0
17,2025-12-04,EPtask_learning-17-2025-12-04-1.mat,1,1595.8660169999985,0,6235,1,2,400,0.0,0.0
17,2025-12-05,EPtask_learning-17-2025-12-05.mat,0,874.567193699997,0,2852,2,1,400,0.0,0.0
17,2025-12-06,EPtask_learning-17-2025-12-06.mat,0,1487.931893,0,3737,3,1,400,0.0,0.0
18,2026-04-10,EPtask_learning-18-2026-04-10.mat,0,954.9505577,6,6746,1,1,313,0.0,0.0
18,2026-04-11,EPtask_learning-18-2026-04-11.mat,0,162.3997958,0,1256,2,1,313,0.0,0.0
18,2026-04-12,EPtask_learning-18-2026-04-12.mat,0,41.401678200000106,3,536,3,1,313,0.0,0.0
18,2026-04-12,EPtask_learning-18-2026-04-12-1.mat,1,3.1155716999999186,1,97,3,2,313,0.0,0.0
20,2026-04-10,EPtask_learning-20-2026-04-10.mat,0,340.14741479999975,5,2719,1,1,313,0.0,0.0
20,2026-04-11,EPtask_learning-20-2026-04-11.mat,0,310.8406119000001,3,2111,2,1,313,0.0,0.0
20,2026-04-12,EPtask_learning-20-2026-04-12.mat,0,104.8207966,1,1053,3,1,313,0.0,0.0
21,2025-12-07,EPtask_learning-21-2025-12-07.mat,0,1131.7109077999994,2,5241,1,1,400,0.0,0.0
21,2025-12-08,EPtask_learning-21-2025-12-08.mat,0,248.9369783000002,0,1146,2,1,400,0.0,0.0
21,2025-12-09,EPtask_learning-21-2025-12-09.mat,0,85.78877160000002,0,264,3,1,400,0.0,0.0
21,2025-12-09,EPtask_learning-21-2025-12-09-2.mat,2,153.9231049000009,1,959,3,2,400,0.0,0.0
23,2025-12-07,EPtask_learning-23-2025-12-07.mat,0,2447.5628388999994,1,2779,1,1,400,0.0,0.0
23,2025-12-08,EPtask_learning-23-2025-12-08.mat,0,1962.039202699998,0,881,2,1,400,0.0,0.0
29,2026-03-14,EPtask_learning-29-2026-03-14.mat,0,1698.2307733,0,22064,1,1,373,0.0,0.0
29,2026-03-15,EPtask_learning-29-2026-03-15.mat,0,295.86313339999833,1,3799,2,1,373,0.0,0.0
29,2026-03-16,EPtask_learning-29-2026-03-16.mat,0,217.12879629999998,0,1714,3,1,373,0.0,0.0
29,2026-03-16,EPtask_learning-29-2026-03-16-1.mat,1,83.39418620000015,0,810,3,2,373,0.0,0.0
31,2026-03-14,EPtask_learning-31-2026-03-14.mat,0,982.4408619999995,3,4527,1,1,374,0.0,0.0
31,2026-03-15,EPtask_learning-31-2026-03-15.mat,0,208.8138606,2,1732,2,1,374,0.0,0.0
31,2026-03-16,EPtask_learning-31-2026-03-16.mat,0,87.69769219999999,0,481,3,1,374,0.0,0.0
31,2026-03-16,EPtask_learning-31-2026-03-16-1.mat,1,4.094790099999955,0,49,3,2,374,0.0,0.0
35,2025-07-18,EPtask_learning-35-2025-07-18.mat,0,167.91457180000043,3,2136,1,1,373,0.0,0.0
35,2026-03-20,EPtask_learning-35-2026-03-20.mat,0,774.0458179999996,8,5476,2,1,374,0.0,0.0
35,2026-03-21,EPtask_learning-35-2026-03-21.mat,0,194.5974094000003,0,1436,3,1,373,0.0,0.0
37,2026-03-20,EPtask_learning-37-2026-03-20.mat,0,2092.549180400001,66,9402,1,1,374,0.0,0.0
37,2026-03-21,EPtask_learning-37-2026-03-21.mat,0,268.720812,4,1802,2,1,373,0.0,0.0
37,2026-03-22,EPtask_learning-37-2026-03-22.mat,0,157.776662,0,781,3,1,373,0.0,0.0
37,2026-03-22,EPtask_learning-37-2026-03-22-1.mat,1,24.97059450000006,7,260,3,2,373,0.0,0.0
39,2026-03-20,EPtask_learning-39-2026-03-20.mat,0,1448.1795886999998,6,9451,1,1,373,0.0,0.0
39,2026-03-21,EPtask_learning-39-2026-03-21.mat,0,155.40004380000028,1,1476,2,1,374,0.0,0.0
39,2026-03-22,EPtask_learning-39-2026-03-22.mat,0,135.59927630000004,0,905,3,1,374,0.0,0.0
39,2026-03-22,EPtask_learning-39-2026-03-22-1.mat,1,25.14442280000003,2,414,3,2,374,0.0,0.0
39,2026-03-22,EPtask_learning-39-2026-03-22-2.mat,2,15.260085999999774,2,348,3,3,374,0.0,0.0
41,2026-03-20,EPtask_learning-41-2026-03-20.mat,0,963.1629665000005,3,11476,1,1,374,0.0,0.0
41,2026-03-21,EPtask_learning-41-2026-03-21.mat,0,154.92507080000019,2,2054,2,1,374,0.0,0.0
41,2026-03-22,EPtask_learning-41-2026-03-22.mat,0,2.0128680000002532,0,57,3,1,374,0.0,0.0
41,2026-03-22,EPtask_learning-41-2026-03-22-1.mat,1,3.557491100000334,0,65,3,2,374,0.0,0.0
43,2026-03-24,EPtask_learning-43-2026-03-24.mat,0,1339.796952599998,0,9640,1,1,374,0.0,0.0
43,2026-03-25,EPtask_learning-43-2026-03-25.mat,0,393.4131850999984,0,2805,2,1,373,0.0,0.0
43,2026-03-26,EPtask_learning-43-2026-03-26.mat,0,172.436379,0,1015,3,1,374,0.0,0.0
43,2026-03-26,EPtask_learning-43-2026-03-26-1.mat,1,12.103652600000032,1,426,3,2,374,0.0,0.0
43,2026-03-26,EPtask_learning-43-2026-03-26-2.mat,2,16.592975499999966,0,388,3,3,374,0.0,0.0
45,2026-03-24,EPtask_learning-45-2026-03-24.mat,0,1846.1172280999963,12,17628,1,1,374,0.0,0.0
45,2026-03-25,EPtask_learning-45-2026-03-25.mat,0,294.50426510000034,2,2459,2,1,374,0.0,0.0
45,2026-03-26,EPtask_learning-45-2026-03-26.mat,0,291.8155809000002,6,2056,3,1,374,0.0,0.0
47,2026-03-24,EPtask_learning-47-2026-03-24.mat,0,1137.5306120000005,3,8887,1,1,373,0.0,0.0
47,2026-03-25,EPtask_learning-47-2026-03-25.mat,0,80.25583559999995,1,971,2,1,373,0.0,0.0
47,2026-03-26,EPtask_learning-47-2026-03-26.mat,0,128.12810639999992,6,2132,3,1,373,0.0,0.0
47,2026-03-26,EPtask_learning-47-2026-03-26-1.mat,1,24.02097640000011,2,499,3,2,373,0.0,0.0
49,2025-07-18,EPtask_learning-49-2025-07-18.mat,0,129.03940829999988,3,1335,1,1,373,0.0,0.0
49,2026-03-24,EPtask_learning-49-2026-03-24.mat,0,1076.3615981000003,3,7051,2,1,374,0.0,0.0
49,2026-03-25,EPtask_learning-49-2026-03-25.mat,0,190.17492999999922,3,920,3,1,374,0.0,0.0
