SubNo,date,source,session_index,face,axis,true_bar_px,face_value_0_to_10,face_value_ratio,square_side_estimate
6,2026-03-28,EPtask-6-2026-03-28.mat,0,5,left,183.0,4.894,0.4894,373.9272578667756
6,2026-03-28,EPtask-6-2026-03-28.mat,0,5,right,76.0,2.02,0.202,376.2376237623762
6,2026-03-28,EPtask-6-2026-03-28.mat,0,4,left,330.0,8.817,0.8817,374.276964954066
6,2026-03-28,EPtask-6-2026-03-28.mat,0,4,right,251.0,6.716,0.6716,373.7343656938654
6,2026-03-28,EPtask-6-2026-03-28.mat,0,6,left,286.0,7.659,0.7659,373.4168951560256
6,2026-03-28,EPtask-6-2026-03-28.mat,0,6,right,119.0,3.185,0.3185,373.6263736263736
6,2026-03-28,EPtask-6-2026-03-28.mat,0,3,left,240.0,6.426,0.6426000000000001,373.4827264239029
6,2026-03-28,EPtask-6-2026-03-28.mat,0,3,right,319.0,8.527,0.8526999999999999,374.1057816348071
6,2026-03-28,EPtask-6-2026-03-28.mat,0,2,left,104.0,2.789,0.27890000000000004,372.89351021871636
6,2026-03-28,EPtask-6-2026-03-28.mat,0,2,right,290.0,7.765,0.7765,373.4707018673535
6,2026-03-28,EPtask-6-2026-03-28.mat,0,1,left,90.0,2.416,0.24159999999999998,372.51655629139077
6,2026-03-28,EPtask-6-2026-03-28.mat,0,1,right,179.0,4.788,0.4788,373.8512949039265
6,2026-03-28,EPtask-6-2026-03-28.mat,0,4,left,330.0,8.817,0.8817,374.276964954066
6,2026-03-28,EPtask-6-2026-03-28.mat,0,4,right,251.0,6.716,0.6716,373.7343656938654
6,2026-03-28,EPtask-6-2026-03-28.mat,0,3,left,240.0,6.426,0.6426000000000001,373.4827264239029
6,2026-03-28,EPtask-6-2026-03-28.mat,0,3,right,319.0,8.527,0.8526999999999999,374.1057816348071
6,2026-03-28,EPtask-6-2026-03-28.mat,0,2,left,104.0,2.789,0.27890000000000004,372.89351021871636
6,2026-03-28,EPtask-6-2026-03-28.mat,0,2,right,290.0,7.765,0.7765,373.4707018673535
6,2026-03-28,EPtask-6-2026-03-28.mat,0,6,left,286.0,7.659,0.7659,373.4168951560256
6,2026-03-28,EPtask-6-2026-03-28.mat,0,6,right,119.0,3.185,0.3185,373.6263736263736
6,2026-03-28,EPtask-6-2026-03-28.mat,0,5,left,183.0,4.894,0.4894,373.9272578667756
6,2026-03-28,EPtask-6-2026-03-28.mat,0,5,right,76.0,2.02,0.202,376.2376237623762
6,2026-03-29,EPtask-6-2026-03-29.mat,0,4,left,192.0,8.817,0.8817,217.76114324600204
6,2026-03-29,EPtask-6-2026-03-29.mat,0,4,right,146.0,6.716,0.6716,217.3913043478261
6,2026-03-29,EPtask-6-2026-03-29.mat,0,3,left,140.0,6.426,0.6426000000000001,217.86492374727666
6,2026-03-29,EPtask-6-2026-03-29.mat,0,3,right,186.0,8.527,0.8526999999999999,218.13064383722298
6,2026-03-29,EPtask-6-2026-03-29.mat,0,2,left,61.0,2.789,0.27890000000000004,218.71638580136246
6,2026-03-29,EPtask-6-2026-03-29.mat,0,2,right,169.0,7.765,0.7765,217.64327108821635
6,2026-03-29,EPtask-6-2026-03-29.mat,0,6,left,167.0,7.659,0.7659,218.04413108760934
6,2026-03-29,EPtask-6-2026-03-29.mat,0,6,right,69.0,3.185,0.3185,216.64050235478805
6,2026-03-29,EPtask-6-2026-03-29.mat,0,5,left,107.0,4.894,0.4894,218.63506334286882
6,2026-03-29,EPtask-6-2026-03-29.mat,0,5,right,44.0,2.02,0.202,217.8217821782178
6,2026-03-29,EPtask-6-2026-03-29.mat,0,1,left,53.0,2.416,0.24159999999999998,219.37086092715234
6,2026-03-29,EPtask-6-2026-03-29.mat,0,1,right,104.0,4.788,0.4788,217.2096908939014
6,2026-03-29,EPtask-6-2026-03-29-1.mat,1,5,left,107.0,4.894,0.4894,218.63506334286882
6,2026-03-29,EPtask-6-2026-03-29-1.mat,1,5,right,44.0,2.02,0.202,217.8217821782178
6,2026-03-29,EPtask-6-2026-03-29-1.mat,1,6,left,167.0,7.659,0.7659,218.04413108760934
6,2026-03-29,EPtask-6-2026-03-29-1.mat,1,6,right,69.0,3.185,0.3185,216.64050235478805
6,2026-03-29,EPtask-6-2026-03-29-1.mat,1,4,left,192.0,8.817,0.8817,217.76114324600204
6,2026-03-29,EPtask-6-2026-03-29-1.mat,1,4,right,146.0,6.716,0.6716,217.3913043478261
6,2026-03-29,EPtask-6-2026-03-29-1.mat,1,3,left,140.0,6.426,0.6426000000000001,217.86492374727666
6,2026-03-29,EPtask-6-2026-03-29-1.mat,1,3,right,186.0,8.527,0.8526999999999999,218.13064383722298
6,2026-03-29,EPtask-6-2026-03-29-1.mat,1,2,left,61.0,2.789,0.27890000000000004,218.71638580136246
6,2026-03-29,EPtask-6-2026-03-29-1.mat,1,2,right,169.0,7.765,0.7765,217.64327108821635
6,2026-03-29,EPtask-6-2026-03-29-1.mat,1,1,left,53.0,2.416,0.24159999999999998,219.37086092715234
6,2026-03-29,EPtask-6-2026-03-29-1.mat,1,1,right,104.0,4.788,0.4788,217.2096908939014
6,2026-03-29,EPtask-6-2026-03-29-1.mat,1,1,left,53.0,2.416,0.24159999999999998,219.37086092715234
6,2026-03-29,EPtask-6-2026-03-29-1.mat,1,1,right,104.0,4.788,0.4788,217.2096908939014
6,2026-03-29,EPtask-6-2026-03-29-1.mat,1,3,left,140.0,6.426,0.6426000000000001,217.86492374727666
6,2026-03-29,EPtask-6-2026-03-29-1.mat,1,3,right,186.0,8.527,0.8526999999999999,218.13064383722298
6,2026-03-29,EPtask-6-2026-03-29-1.mat,1,5,left,107.0,4.894,0.4894,218.63506334286882
