SubNo,date,source,n_files,n_trials,n_faces,faces_observed,square_side_median,square_side_mean,square_side_sd,square_side_min,square_side_max,square_side_px,square_side_rmse_px,square_side_max_abs_error_px
2,2026-03-27,EPtask-2-2026-03-27-1.mat,1,9,6,1 2 3 4 5 6,373.4437985116896,373.12650003663776,0.7793095439367146,371.28712871287127,373.9272578667756,373,0.0,0.0
2,2026-03-27,EPtask-2-2026-03-27-2.mat,1,6,6,1 2 3 4 5 6,373.4437985116896,373.19021994433564,0.7332486794324318,371.28712871287127,373.9272578667756,373,0.0,0.0
2,2026-03-27,EPtask-2-2026-03-27-3.mat,1,6,6,1 2 3 4 5 6,373.4437985116896,373.1902199443357,0.7332486794324317,371.28712871287127,373.9272578667756,373,0.0,0.0
2,2026-03-27,EPtask-2-2026-03-27-4.mat,1,6,6,1 2 3 4 5 6,373.4437985116896,373.19021994433564,0.7332486794324318,371.28712871287127,373.9272578667756,373,0.0,0.0
2,2026-03-27,EPtask-2-2026-03-27.mat,1,1,1,5,372.60719328982344,372.60719328982344,1.8668532279340708,371.28712871287127,373.9272578667756,373,0.0,0.0
2,2026-03-28,EPtask-2-2026-03-28.mat,1,6,6,1 2 3 4 5 6,373.4437985116896,373.1902199443357,0.7332486794324317,371.28712871287127,373.9272578667756,373,0.0,0.0
2,2026-03-29,EPtask-2-2026-03-29-1.mat,1,6,6,1 2 3 4 5 6,373.6803696601195,373.79500436663164,0.9115824601566069,372.51655629139077,376.2376237623762,374,0.0,0.0
2,2026-03-29,EPtask-2-2026-03-29-2.mat,1,6,6,1 2 3 4 5 6,373.6803696601195,373.79500436663164,0.9115824601566069,372.51655629139077,376.2376237623762,374,0.0,0.0
2,2026-03-29,EPtask-2-2026-03-29-3.mat,1,6,6,1 2 3 4 5 6,373.6803696601195,373.79500436663164,0.9115824601566068,372.51655629139077,376.2376237623762,374,0.0,0.0
2,2026-03-29,EPtask-2-2026-03-29.mat,1,1,1,4,374.0056653239657,374.0056653239657,0.3836756163546305,373.7343656938654,374.276964954066,374,0.0,0.0
6,2026-03-27,EPtask-6-2026-03-27-1.mat,1,4,4,3 4 5 6,373.8308117803205,374.10099863977405,0.9131019753181787,373.4168951560256,376.2376237623762,374,0.0,0.0
6,2026-03-27,EPtask-6-2026-03-27-2.mat,1,8,6,1 2 3 4 5 6,373.792830298896,373.95584013046505,0.9968249139532317,372.51655629139077,376.2376237623762,374,0.0,0.0
6,2026-03-27,EPtask-6-2026-03-27.mat,1,1,1,4,374.0056653239657,374.0056653239657,0.3836756163546305,373.7343656938654,374.276964954066,374,0.0,0.0
6,2026-03-28,EPtask-6-2026-03-28.mat,1,11,6,1 2 3 4 5 6,373.6803696601195,373.85055698199284,0.8884476736029804,372.51655629139077,376.2376237623762,374,0.0,0.0
6,2026-03-29,EPtask-6-2026-03-29-1.mat,1,10,6,1 2 3 4 5 6,217.86492374727666,218.03111623343315,0.7066513112166125,216.64050235478805,219.37086092715234,218,0.0,0.0
6,2026-03-29,EPtask-6-2026-03-29-2.mat,1,6,6,1 2 3 4 5 6,217.84335296274725,217.9358085710371,0.7288216278156631,216.64050235478805,219.37086092715234,218,0.0,0.0
