SubNo,date,n_files,n_trials,n_faces,faces_observed,square_side_median,square_side_mean,square_side_sd,square_side_min,square_side_max,square_side_px,square_side_rmse_px,square_side_max_abs_error_px
35,2026-03-20,9,51,6,1 2 3 4 5 6,373.6263736263736,373.73531399943994,0.7778563496393788,372.51655629139077,376.2376237623762,374,0.0,0.0
35,2026-03-21,1,8,6,1 2 3 4 5 6,373.4437985116896,373.2234725012888,0.6504637134951733,371.28712871287127,373.9272578667756,373,0.0,0.0
37,2026-03-20,7,35,6,1 2 3 4 5 6,373.7343656938654,373.7931141274107,0.8962050286734647,372.51655629139077,376.2376237623762,374,0.0,0.0
37,2026-03-21,5,17,6,1 2 3 4 5 6,373.4437985116896,373.23938820996267,0.6074975496323906,371.28712871287127,373.9272578667756,373,0.0,0.0
37,2026-03-22,4,23,6,1 2 3 4 5 6,373.4437985116896,373.1904936115825,0.7112729320579438,371.28712871287127,373.9272578667756,373,0.0,0.0
39,2026-03-20,6,35,6,1 2 3 4 5 6,373.4437985116896,373.20097093591164,0.6640487094859996,371.28712871287127,373.9272578667756,373,0.0,0.0
39,2026-03-21,2,23,6,1 2 3 4 5 6,373.6803696601195,373.86838933443954,0.9478141715532921,372.51655629139077,376.2376237623762,374,0.0,0.0
39,2026-03-22,6,52,6,1 2 3 4 5 6,373.7343656938654,373.8161135895862,0.8877457519966776,372.51655629139077,376.2376237623762,374,0.0,0.0
41,2026-03-20,3,22,6,1 2 3 4 5 6,373.7343656938654,373.8506396890211,0.8875309225866512,372.51655629139077,376.2376237623762,374,0.0,0.0
41,2026-03-21,3,23,6,1 2 3 4 5 6,373.6803696601195,373.8068109066668,0.8902644332983358,372.51655629139077,376.2376237623762,374,0.0,0.0
41,2026-03-22,3,25,6,1 2 3 4 5 6,373.6803696601195,373.79497435314056,0.8661118084507852,372.51655629139077,376.2376237623762,374,0.0,0.0
43,2026-03-24,1,6,6,1 2 3 4 5 6,373.6803696601195,373.79500436663164,0.9115824601566069,372.51655629139077,376.2376237623762,374,0.0,0.0
43,2026-03-25,1,6,6,1 2 3 4 5 6,373.4437985116896,373.1902199443357,0.7332486794324317,371.28712871287127,373.9272578667756,373,0.0,0.0
43,2026-03-26,3,18,6,1 2 3 4 5 6,373.6803696601195,373.79500436663164,0.8851541463004488,372.51655629139077,376.2376237623762,374,0.0,0.0
45,2026-03-24,12,48,6,1 2 3 4 5 6,373.7343656938654,373.7838927881124,0.8378692074904769,372.51655629139077,376.2376237623762,374,0.0,0.0
45,2026-03-25,3,9,6,1 2 3 4 5 6,373.6803696601195,373.9075950483245,0.9475048320797563,372.51655629139077,376.2376237623762,374,0.0,0.0
45,2026-03-26,9,43,6,1 2 3 4 5 6,373.7343656938654,373.81897136963204,0.8544062445902344,372.51655629139077,376.2376237623762,374,0.0,0.0
47,2026-03-24,4,23,6,1 2 3 4 5 6,373.4437985116896,373.1758106205588,0.7211964894387591,371.28712871287127,373.9272578667756,373,0.0,0.0
47,2026-03-25,2,23,6,1 2 3 4 5 6,373.4437985116896,373.180463277558,0.7089099204165206,371.28712871287127,373.9272578667756,373,0.0,0.0
47,2026-03-26,11,60,6,1 2 3 4 5 6,373.4437985116896,373.20690601445204,0.6735204643491342,371.28712871287127,373.9272578667756,373,0.0,0.0
49,2025-07-18,6,36,6,1 2 3 4 5 6,373.4437985116896,373.22033715502323,0.6525848918550388,371.28712871287127,373.9272578667756,373,0.0,0.0
49,2026-03-24,4,24,6,1 2 3 4 5 6,373.7343656938654,373.89961533343313,0.9186074844453999,372.51655629139077,376.2376237623762,374,0.0,0.0
49,2026-03-25,4,39,6,1 2 3 4 5 6,373.6803696601195,373.8696200537478,0.9144334478769789,372.51655629139077,376.2376237623762,374,0.0,0.0
