SubNo,subject_label,trial_index,rt,block,village,face1,face2,false_time,mean_false,mean_rt,session_date,source_file
9,S09,2,8.311874899999793,2,3,4,4,10.692534899999828,2.5,1.0,2025-11-25,SPtask1-9-2025-11-25.xlsx
9,S09,3,7.248364733333195,3,5,6,3,5.121344399999998,2.6666666666666665,1.0,2025-11-25,SPtask1-9-2025-11-25.xlsx
9,S09,4,4.475961499999812,3,5,6,2,4.475961499999812,2.0,2.0,2025-11-25,SPtask1-9-2025-11-25.xlsx
9,S09,5,4.873722149999821,2,3,4,0,5.271482799999831,1.0,2.0,2025-11-25,SPtask1-9-2025-11-25.xlsx
9,S09,6,6.517595433333251,1,1,2,2,9.80534200000011,1.3333333333333333,2.0,2025-11-25,SPtask1-9-2025-11-25.xlsx
9,S09,7,4.691894199999751,3,5,6,1,4.691894199999751,1.0,3.0,2025-11-25,SPtask1-9-2025-11-25.xlsx
9,S09,8,4.418988049999825,1,1,2,0,4.146081899999899,0.5,3.0,2025-11-25,SPtask1-9-2025-11-25.xlsx
9,S09,9,3.8960443666665014,2,3,4,0,2.8501569999998537,0.3333333333333333,3.0,2025-11-25,SPtask1-9-2025-11-25.xlsx
9,S09,10,12.955399700000271,2,3,4,3,12.955399700000271,3.0,4.0,2025-11-25,SPtask1-9-2025-11-25.xlsx
9,S09,11,10.690620150000086,1,1,2,1,8.425840599999901,2.0,4.0,2025-11-25,SPtask1-9-2025-11-25.xlsx
9,S09,12,8.628573700000137,3,5,6,0,4.504480800000238,1.3333333333333333,4.0,2025-11-25,SPtask1-9-2025-11-25.xlsx
9,S09,13,6.580960299999788,1,1,2,0,6.580960299999788,0.0,5.0,2025-11-25,SPtask1-9-2025-11-25.xlsx
9,S09,14,4.625982199999953,2,3,4,0,2.6710041000001183,0.0,5.0,2025-11-25,SPtask1-9-2025-11-25.xlsx
9,S09,15,4.2479836666666415,3,5,6,0,3.4919866000000184,0.0,5.0,2025-11-25,SPtask1-9-2025-11-25.xlsx
10,S10,1,7.59815819999994,1,2,3,4,1.0,7.59815819999994,1.0,2026-03-29,SPtask1-10-2026-03-29.csv
10,S10,2,6.87265089999983,1,3,5,6,1.0,7.23540454999988,1.0,2026-03-29,SPtask1-10-2026-03-29.csv
10,S10,3,10.4262198000001,1,1,1,2,1.0,8.2990096333333,1.0,2026-03-29,SPtask1-10-2026-03-29.csv
10,S10,4,4.58823419999999,2,1,1,2,0.0,4.58823419999999,0.0,2026-03-29,SPtask1-10-2026-03-29.csv
10,S10,5,9.44181389999994,2,3,5,6,0.0,7.01502404999997,0.0,2026-03-29,SPtask1-10-2026-03-29.csv
10,S10,6,11.2942191000002,2,2,3,4,0.0,8.44142240000004,0.0,2026-03-29,SPtask1-10-2026-03-29.csv
