SubNo,Name,Gender,Age,Handedness,F1,F1V,F1X,F1Y,F2,F2V,F2X,F2Y,D,MidX,MidY,Mtask,DX,DY,ans_D,rt1,MX,MY,rt2,MMX,MMY,rt3
37,pqh,Male,20,Right,4,2,318.915,350.247,3,2,249.537,218.205,?,284.226,284.226,2,112,68,131.026714833274,44.5284125700646,270,268,68.2703186789095,252,172,35.4113955877529
37,pqh,Male,20,Right,3,2,249.537,218.205,2,1,171.58,236.855,P,210.5585,227.53,0,190,20,191.049731745428,105.480122587753,,,,,,
37,pqh,Male,20,Right,4,2,318.915,350.247,5,3,194.333,160.39,?,256.624,255.3185,0,134,168,214.895323355349,14.4197666877526,,,,,,
37,pqh,Male,20,Right,3,2,249.537,218.205,1,1,22.38,231.26,?,135.9585,224.7325,0,126,104,163.376864947275,30.0408007993165,,,,,,
37,pqh,Male,20,Right,5,3,194.333,160.39,2,1,171.58,236.855,O,182.9565,198.6225,1,78,152,170.844958954018,72.9688803789086,136,174,21.0786041789088,,,
37,pqh,Male,20,Right,1,1,22.38,231.26,6,3,273.782,33.943,?,148.081,132.6015,2,212,74,224.54398232863,36.835937978909,186,154,32.7391554612213,144,164,70.0011984789089
37,pqh,Male,20,Right,6,3,273.782,33.943,2,1,171.58,236.855,?,222.681,135.399,0,160,168,232,71.371470470066,,,,,,
37,pqh,Male,20,Right,6,3,273.782,33.943,4,2,318.915,350.247,?,296.3485,192.095,1,52,126,136.30847369111,18.2456436789098,330,190,37.0106656789094,,,
37,pqh,Male,20,Right,5,3,194.333,160.39,3,2,249.537,218.205,O,221.935,189.2975,2,42,218,222.009008826219,15.9740288346911,214,192,19.4648554789092,258,184,92.9081071700657
37,pqh,Male,20,Right,6,3,273.782,33.943,3,2,249.537,218.205,?,261.6595,126.074,0,54,182,189.842039601349,40.6162040789086,,,,,,
37,pqh,Male,20,Right,6,3,273.782,33.943,2,1,171.58,236.855,?,222.681,135.399,0,128,124,178.213355279564,14.7447106965956,,,,,,
37,pqh,Male,20,Right,1,1,22.38,231.26,2,1,171.58,236.855,?,96.98,234.0575,1,106,210,235.236051658754,16.5684992877532,93.9972590695091,208.104671912486,24.4264035789092,,,
