SubNo,Name,Gender,Age,Handedness,F1,F1V,F1X,F1Y,F2,F2V,F2X,F2Y,D,MidX,MidY,Mtask,DX,DY,ans_D,rt1,MX,MY,rt2,MMX,MMY,rt3
6,yhc,Female,18,Right,5,3,113.578,93.74,1,1,13.08,135.16,l,63.329,114.45,1,32,50,59.3632883186233,96.1376065574868,87,72,46.1705287,,,
6,yhc,Female,18,Right,2,1,100.28,138.43,6,3,160.012,19.838,?,130.146,79.134,2,134,124,182.570534314823,45.6493596574869,125,123,67.9813396999998,88,84,46.4900058438975
6,yhc,Female,18,Right,1,1,13.08,135.16,6,3,160.012,19.838,?,86.546,77.499,0,94,37,101.019800039398,55.9114135146278,,,,,,
6,yhc,Female,18,Right,3,2,145.842,127.53,1,1,13.08,135.16,?,79.461,131.345,0,72,97,120.801490057035,40.6065198665465,,,,,,
6,yhc,Female,18,Right,5,3,113.578,93.74,1,1,13.08,135.16,l,63.329,114.45,0,46,57,73.24616030892,39.243201545989,,,,,,
6,yhc,Female,18,Right,4,2,186.39,204.702,2,1,100.28,138.43,l,143.335,171.566,1,148,28,150.625363070102,41.5750389459895,118,158,43.5125485916333,,,
6,yhc,Female,18,Right,4,2,186.39,204.702,5,3,113.578,93.74,?,149.984,149.221,2,89,85,123.069086288962,40.775373566546,150,87,42.0613236236877,118,125,88.6955818282167
6,yhc,Female,18,Right,4,2,186.39,204.702,1,1,13.08,135.16,?,99.735,169.931,0,113,36,118.595952713404,35.470389718811,,,,,,
6,yhc,Female,18,Right,4,2,186.39,204.702,3,2,145.842,127.53,W,166.116,166.116,1,54,54,76.3675323681471,35.8716763620168,169,165,34.2052545999995,,,
6,yhc,Female,18,Right,6,3,160.012,19.838,5,3,113.578,93.74,W,136.795,56.789,2,50,22,54.6260011349907,26.3781674000002,144,54,22.0770843937253,158,119,41.1948287999994
6,yhc,Female,18,Right,5,3,113.578,93.74,3,2,145.842,127.53,.,129.71,110.635,1,29,143,145.910931735768,24.9276405459887,116,132,30.6093718006923,,,
6,yhc,Female,18,Right,4,2,186.39,204.702,5,3,113.578,93.74,?,149.984,149.221,2,89,81,120.341181646185,49.4446442188109,155,90,38.8904311710758,143,124,52.185200459925
6,yhc,Female,18,Right,3,2,145.842,127.53,6,3,160.012,19.838,l,152.927,73.684,0,34,125,129.541499142167,31.0919700916329,,,,,,
6,yhc,Female,18,Right,5,3,113.578,93.74,6,3,160.012,19.838,W,136.795,56.789,1,69,25,73.3893725276351,18.4512730665465,134.004111395736,60.1570078687288,25.8124970891949,,,
6,yhc,Female,18,Right,1,1,13.08,135.16,2,1,100.28,138.43,W,56.68,136.795,2,11.9999999999999,60,61.1882341631134,17.2461537620165,60,137,25.2524534027843,108,87,44.3213467000005
6,yhc,Female,18,Right,6,3,160.012,19.838,4,2,186.39,204.702,?,173.201,112.27,1,22,68,71.4702735408225,41.5474276393688,189,95,31.8863145000005,,,
6,yhc,Female,18,Right,2,1,100.28,138.43,4,2,186.39,204.702,l,143.335,171.566,2,141,37,145.773797371133,39.801338871076,117,155,23.3071012895407,156,118,44.1871660804827
6,yhc,Female,18,Right,4,2,186.39,204.702,6,3,160.012,19.838,?,173.201,112.27,1,23,71,74.6324326281812,44.0864698142814,184,105,38.5538182188111,,,
6,yhc,Female,18,Right,3,2,145.842,127.53,5,3,113.578,93.74,.,129.71,110.635,2,30,134,137.317151150175,21.9901923097523,118,113,23.6557137393684,167,108,24.7574267665468
6,yhc,Female,18,Right,2,1,100.28,138.43,5,3,113.578,93.74,.,106.929,116.085,0,50,114,124.482930556763,39.770062587103,,,,,,
