SubNo,Name,Gender,Age,Handedness,F1,F1V,F1X,F1Y,F2,F2V,F2X,F2Y,D,MidX,MidY,Mtask,DX,DY,ans_D,rt1,MX,MY,rt2,MMX,MMY,rt3
45,yxy,Female,19,Right,1,1,22.44,231.88,2,1,172.04,237.49,?,97.24,234.685,1,17.9999999999999,62,64.5600495662759,67.6927007470103,104,234,66.7776253536376,,,
45,yxy,Female,19,Right,4,2,319.77,351.186,3,2,250.206,218.79,?,284.988,284.988,2,0,0,0,2.67181036158399,292,292,28.5764676536373,196,284,28.9286174456902
45,yxy,Female,19,Right,5,3,194.854,160.82,4,2,319.77,351.186,?,257.312,256.003,0,120,254,280.919917414198,46.582065269532,,,,,,
45,yxy,Female,19,Right,4,2,319.77,351.186,1,1,22.44,231.88,?,171.105,291.533,1,246,52,251.435876517254,63.1871060536378,218,234,37.6955928615844,,,
45,yxy,Female,19,Right,2,1,172.04,237.49,5,3,194.854,160.82,O,183.447,199.155,2,62,236,244.008196583639,50.2714073774787,142,194,29.8586072615844,190,222,56.6623118854259
45,yxy,Female,19,Right,6,3,274.516,34.034,2,1,172.04,237.49,?,223.278,135.762,0,156,160,223.463643575415,25.4726430854262,,,,,,
45,yxy,Female,19,Right,3,2,250.206,218.79,4,2,319.77,351.186,?,284.988,284.988,1,68,66,94.7628619238571,29.7069169774786,318,318,16.9328636536375,,,
45,yxy,Female,19,Right,6,3,274.516,34.034,5,3,194.854,160.82,?,234.685,97.427,2,115,36.4781847254616,120.646831540927,89.9631945695319,250,98,48.916296661585,276,160,29.943025653638
45,yxy,Female,19,Right,4,2,319.77,351.186,2,1,172.04,237.49,?,245.905,294.338,0,236,38,239.039745649128,79.1471953536375,,,,,,
45,yxy,Female,19,Right,2,1,172.04,237.49,4,2,319.77,351.186,?,245.905,294.338,1,266,40,268.990706159153,52.6004987774795,216,196,49.0928777615845,,,
45,yxy,Female,19,Right,6,3,274.516,34.034,4,2,319.77,351.186,?,297.143,192.61,2,38,182,185.924715947074,45.6600669695317,312,186,31.4115481615845,246,232,110.264204853638
45,yxy,Female,19,Right,3,2,250.206,218.79,6,3,274.516,34.034,?,262.361,126.412,0,31.9999999999996,236,238.159610345667,42.304928645689,,,,,,
45,yxy,Female,19,Right,1,1,22.44,231.88,3,2,250.206,218.79,?,136.323,225.335,0,220,66,229.686743196032,41.0765671615845,,,,,,
45,yxy,Female,19,Right,4,2,319.77,351.186,1,1,22.44,231.88,?,171.105,291.533,1,248,62,255.632548788295,33.2590764615852,202,236,39.7561358536377,,,
45,yxy,Female,19,Right,3,2,250.206,218.79,2,1,172.04,237.49,P,211.123,228.14,2,164,40,168.807582768074,42.3918817695321,152,310,35.8051187615847,184,284,42.9347090456895
45,yxy,Female,19,Right,3,2,250.206,218.79,5,3,194.854,160.82,P,222.53,189.805,0,128,248,279.084216680199,69.2408985615839,,,,,,
45,yxy,Female,19,Right,6,3,274.516,34.034,3,2,250.206,218.79,?,262.361,126.412,0,42,268,271.271082130035,37.0901453695315,,,,,,
45,yxy,Female,19,Right,6,3,274.516,34.034,3,2,250.206,218.79,?,262.361,126.412,0,40,258,261.082362483566,32.8107755854262,,,,,,
