SubNo,Name,Gender,Age,Handedness,F1,F1V,F1X,F1Y,F2,F2V,F2X,F2Y,D,MidX,MidY,Mtask,DX,DY,ans_D,rt1,MX,MY,rt2,MMX,MMY,rt3
43,wkf,Male,20,Right,1,1,22.44,231.88,3,2,250.206,218.79,?,136.323,225.335,0,136,146,199.529446448388,76.9038017961029,,,,,,
43,wkf,Male,20,Right,4,2,319.77,351.186,1,1,22.44,231.88,?,171.105,291.533,0,250,48,254.566297847928,77.1982499615178,,,,,,
43,wkf,Male,20,Right,1,1,22.44,231.88,2,1,172.04,237.49,?,97.24,234.685,1,11.9999999999999,96,96.7470929795826,42.3206451729257,94,238,52.9703054018069,,,
43,wkf,Male,20,Right,3,2,250.206,218.79,4,2,319.77,351.186,?,284.988,284.988,2,86,68,109.635760589326,60.7204554501095,278,270,72.5644447310497,183.326587053084,254.349638388259,154.3648846
43,wkf,Male,20,Right,5,3,194.854,160.82,2,1,172.04,237.49,O,183.447,199.155,0,78,182,198.010100752462,70.0126342477997,,,,,,
43,wkf,Male,20,Right,2,1,172.04,237.49,5,3,194.854,160.82,O,183.447,199.155,0,84,176,195.017947891982,26.6114483158858,,,,,,
43,wkf,Male,20,Right,1,1,22.44,231.88,6,3,274.516,34.034,?,148.478,132.957,0,214.196986550478,65.4970485593562,223.987080916048,97.0831954729256,,,,,,
43,wkf,Male,20,Right,6,3,274.516,34.034,4,2,319.77,351.186,?,297.143,192.61,1,40,150,155.2417469626,65.8443630444058,302,184,33.4707220999999,,,
43,wkf,Male,20,Right,5,3,194.854,160.82,3,2,250.206,218.79,P,222.53,189.805,2,46.7439370501694,262.03289116589,266.169554426695,80.4991223444058,214,204,25.5655641626017,274,210,62.2186988679441
43,wkf,Male,20,Right,6,3,274.516,34.034,4,2,319.77,351.186,?,297.143,192.61,1,21.9999999999998,104,106.301458127346,32.9942228558139,300,202,52.6858488390631,,,
43,wkf,Male,20,Right,2,1,172.04,237.49,4,2,319.77,351.186,?,245.905,294.338,2,220,44,224.356858598083,43.7079559729254,214,272,36.0299273903988,262,224,68.4638781246222
43,wkf,Male,20,Right,6,3,274.516,34.034,2,1,172.04,237.49,?,223.278,135.762,0,178,170,246.138172577924,67.8248814387025,,,,,,
43,wkf,Male,20,Right,5,3,194.854,160.82,4,2,319.77,351.186,?,257.312,256.003,0,144,172,224.321198284959,44.2597769786298,,,,,,
43,wkf,Male,20,Right,6,3,274.516,34.034,2,1,172.04,237.49,?,223.278,135.762,1,186,182,260.230666909187,51.5075314558135,206,208,59.0045659903981,,,
43,wkf,Male,20,Right,1,1,22.44,231.88,5,3,194.854,160.82,?,108.647,196.35,2,78,96,123.69316876853,46.6488976444052,132,130,21.2688689272936,170,184,76.0067615588468
43,wkf,Male,20,Right,2,1,172.04,237.49,5,3,194.854,160.82,O,183.447,199.155,0,70,190,202.484567313166,60.1133037215895,,,,,,
43,wkf,Male,20,Right,4,2,319.77,351.186,5,3,194.854,160.82,?,257.312,256.003,0,156,186,242.759139889727,25.9692178729256,,,,,,
43,wkf,Male,20,Right,5,3,194.854,160.82,1,1,22.44,231.88,?,108.647,196.35,0,90,102,136.029408585056,50.9863439101819,,,,,,
43,wkf,Male,20,Right,1,1,22.44,231.88,2,1,172.04,237.49,?,97.24,234.685,1,9.99999999999993,82,82.6075057122535,37.9764730615179,90,234,39.8759952903984,,,
