SubNo,Name,Gender,Age,Handedness,F1,F1V,F1X,F1Y,F2,F2V,F2X,F2Y,D,MidX,MidY,Mtask,DX,DY,ans_D,rt1,MX,MY,rt2,MMX,MMY,rt3
13,jf,Male,22,Right,1,1,24,248,2,1,184,254,?,104,251,1,18,100,101.607086367044,62.4344546827488,118,268,37.820955075611,,,
13,jf,Male,22,Right,5,3,208.4,172,6,3,293.6,36.4,?,251,104.2,2,97.8778525229247,42.0901699437495,106.544152445796,90.9384055797746,276,96,43.2369087821544,196,204,77.5902051767998
13,jf,Male,22,Right,2,1,184,254,4,2,342,375.6,?,263,314.8,0,255.991777208527,50.3140157374577,260.88942136087,72.2512846827494,,,,,,
13,jf,Male,22,Right,5,3,208.4,172,2,1,184,254,U,196.2,213,1,86,246,260.599309285347,47.7710549821541,122,204,43.1808208821549,,,
13,jf,Male,22,Right,2,1,184,254,6,3,293.6,36.4,車,238.8,145.2,2,232,178,292.417509735652,49.9589036827492,214,224,71.5976299000004,178,200,83.5099074785858
13,jf,Male,22,Right,4,2,342,375.6,1,1,24,248,?,183,311.8,1,278,52,282.821498475629,40.1133372827489,220,232,37.0182432672827,,,
13,jf,Male,22,Right,3,2,267.6,234,2,1,184,254,U,225.8,244,2,124,38,129.691942694988,31.5157705666879,192,324,37.4600708791795,204,290,54.9780349827488
13,jf,Male,22,Right,1,1,24,248,6,3,293.6,36.4,?,158.8,142.2,0,210,68,220.735135399872,67.9119917833432,,,,,,
13,jf,Male,22,Right,5,3,208.4,172,2,1,184,254,U,196.2,213,1,88,212,229.538667766457,40.1446643827485,126,190,35.2329781827493,,,
13,jf,Male,22,Right,4,2,342,375.6,1,1,24,248,?,183,311.8,2,278,52,282.821498475629,68.0911398839389,219.994518139018,232.209343824972,26.9215926791794,170,218,50.3623544827487
13,jf,Male,22,Right,5,3,208.4,172,1,1,24,248,?,116.2,210,0,100,90,134.536240470737,56.5265705827496,,,,,,
13,jf,Male,22,Right,1,1,24,248,3,2,267.6,234,?,145.8,241,0,131.813616726622,115.11769004904,175.005463105526,108.794356885129,,,,,,
13,jf,Male,22,Right,5,3,208.4,172,6,3,293.6,36.4,?,251,104.2,1,92,44,101.980390271856,25.879805683343,262,92,24.9101037821547,,,
13,jf,Male,22,Right,4,2,342,375.6,3,2,267.6,234,?,304.8,304.8,2,100,100,141.42135623731,38.6995094833437,306,306,64.6148788815599,280,200,108.304962166093
13,jf,Male,22,Right,6,3,293.6,36.4,1,1,24,248,?,158.8,142.2,0,204,80,219.125534796837,39.449421582749,,,,,,
13,jf,Male,22,Right,4,2,342,375.6,6,3,293.6,36.4,?,317.8,206,0,70,146,161.913557184073,26.2198232839391,,,,,,
13,jf,Male,22,Right,3,2,267.6,234,1,1,24,248,?,145.8,241,0,138,140,196.580772203184,31.7007636773951,,,,,,
13,jf,Male,22,Right,4,2,342,375.6,6,3,293.6,36.4,?,317.8,206,1,58,126,138.708327075198,62.0307991827485,330,164,67.0889356827483,,,
13,jf,Male,22,Right,3,2,267.6,234,5,3,208.4,172,U,238,203,2,42,250,253.50345165303,29.576281384534,220,208,27.1049863821545,271.997259069509,159.895328087514,68.7907288999995
