SubNo,Name,Gender,Age,Handedness,F1,F1V,F1X,F1Y,F2,F2V,F2X,F2Y,D,MidX,MidY,Mtask,DX,DY,ans_D,rt1,MX,MY,rt2,MMX,MMY,rt3
20,whc,Male,20,Right,3,2,209.397,183.105,4,2,267.615,293.907,},238.506,238.506,1,74,74,104.651803615609,36.4228877,244,238,30.6200156999998,,,
20,whc,Male,20,Right,6,3,229.742,28.483,5,3,163.073,134.59,},196.4075,81.5365,2,94,30,98.6711710683521,44.4543009999998,206,90,41.5057945999997,202,150,42.8143482
20,whc,Male,20,Right,2,1,143.98,198.755,3,2,209.397,183.105,C,176.6885,190.93,1,152,264,304.630924234556,63.7299085,152,262,70.6037484999997,,,
20,whc,Male,20,Right,4,2,267.615,293.907,5,3,163.073,134.59,?,215.344,214.2485,2,122,130,178.280677584532,28.5272737,212,140,39.8004757000003,188,188,76.6087358999998
20,whc,Male,20,Right,4,2,267.615,293.907,5,3,163.073,134.59,?,215.344,214.2485,0,120,120,169.705627484771,37.0180439000001,,,,,,
20,whc,Male,20,Right,3,2,209.397,183.105,1,1,18.78,194.06,?,114.0885,188.5825,0,124,118,171.172427686237,34.8698926000002,,,,,,
20,whc,Male,20,Right,3,2,209.397,183.105,4,2,267.615,293.907,},238.506,238.506,1,70,68,97.5909831900468,34.1988189000003,242,236,16.9810155,,,
20,whc,Male,20,Right,2,1,143.98,198.755,1,1,18.78,194.06,},81.38,196.4075,2,15.9999999999999,90,91.4111590562115,24.4502296999999,82,210,13.4806669,156,212,26.9773130000003
20,whc,Male,20,Right,2,1,143.98,198.755,4,2,267.615,293.907,?,205.7975,246.331,0,176,18,176.918060129541,20.8630280999996,,,,,,
20,whc,Male,20,Right,3,2,209.397,183.105,5,3,163.073,134.59,C,186.235,158.8475,0,42,216,220.045449850707,34.8235802999998,,,,,,
20,whc,Male,20,Right,6,3,229.742,28.483,2,1,143.98,198.755,?,186.861,113.619,1,176,168,243.310501211929,27.1752363000001,160,160,25.8591947,,,
20,whc,Male,20,Right,5,3,163.073,134.59,1,1,18.78,194.06,?,90.9265,164.325,2,88,88,124.450793488832,34.7532089000001,118,120,9.69223809999994,138,138,13.4723183000001
20,whc,Male,20,Right,1,1,18.78,194.06,6,3,229.742,28.483,?,124.261,111.2715,0,162,56,171.405950888527,35.8869857,,,,,,
20,whc,Male,20,Right,1,1,18.78,194.06,6,3,229.742,28.483,?,124.261,111.2715,0,162,66,174.928556845359,61.5501294000001,,,,,,
20,whc,Male,20,Right,6,3,229.742,28.483,2,1,143.98,198.755,?,186.861,113.619,0,160,160,226.274169979695,33.1422316999997,,,,,,
20,whc,Male,20,Right,1,1,18.78,194.06,2,1,143.98,198.755,},81.38,196.4075,1,9.99999999999992,94,94.5304183847718,21.2831517999998,82,198,11.4084407,,,
20,whc,Male,20,Right,4,2,267.615,293.907,3,2,209.397,183.105,},238.506,238.506,2,64,64,90.5096679918781,10.5215363999996,252,240,7.86027100000001,152,208,22.7135604
20,whc,Male,20,Right,6,3,229.742,28.483,2,1,143.98,198.755,?,186.861,113.619,1,166,162,231.948270094864,39.2721501000001,158,156,15.5952999000001,,,
20,whc,Male,20,Right,2,1,143.98,198.755,5,3,163.073,134.59,B,153.5265,166.6725,2,68,160,173.850510496806,30.4237144000003,118,148,14.2874267000002,126,150,39.0014590999999
20,whc,Male,20,Right,6,3,229.742,28.483,1,1,18.78,194.06,?,124.261,111.2715,0,174,76,189.87364219396,39.0537651999998,,,,,,
20,whc,Male,20,Right,2,1,143.98,198.755,4,2,267.615,293.907,?,205.7975,246.331,0,184,26,185.827877348906,30.7670499000001,,,,,,
20,whc,Male,20,Right,1,1,18.78,194.06,5,3,163.073,134.59,?,90.9265,164.325,0,84,80,116,52.5558428999998,,,,,,
20,whc,Male,20,Right,1,1,18.78,194.06,4,2,267.615,293.907,?,143.1975,243.9835,1,188,42,192.634368688456,20.8679296,170,174,17.0902477999998,,,
20,whc,Male,20,Right,3,2,209.397,183.105,2,1,143.98,198.755,C,176.6885,190.93,2,124,32,128.062484748657,13.8057668000001,140,264,18.0252099999998,142,218,29.7542627000003
20,whc,Male,20,Right,6,3,229.742,28.483,3,2,209.397,183.105,?,219.5695,105.794,0,36,192,195.345847153196,14.6791751999999,,,,,,
20,whc,Male,20,Right,4,2,267.615,293.907,6,3,229.742,28.483,?,248.6785,161.195,1,23.9999999999998,112,114.542568506211,11.3282373000002,262,140,15.2816492000002,,,
20,whc,Male,20,Right,3,2,209.397,183.105,1,1,18.78,194.06,?,114.0885,188.5825,2,122,210,242.866218317822,13.3376632999998,127.991777208527,218.314015737458,28.3042700999995,164,184,48.0705178999997
20,whc,Male,20,Right,4,2,267.615,293.907,6,3,229.742,28.483,?,248.6785,161.195,1,42,100,108.46197490365,30.2872183999998,266,148,16.1531335,,,
20,whc,Male,20,Right,5,3,163.073,134.59,3,2,209.397,183.105,C,186.235,158.8475,2,34,218,220.635445928346,17.8307568999999,172,182,15.0139755,226,144,20.9653853
20,whc,Male,20,Right,6,3,229.742,28.483,3,2,209.397,183.105,?,219.5695,105.794,0,50,184,190.672494083441,24.0343856999998,,,,,,
20,whc,Male,20,Right,5,3,163.073,134.59,4,2,267.615,293.907,?,215.344,214.2485,0,114,126,169.917627102076,13.3967885000002,,,,,,
20,whc,Male,20,Right,4,2,267.615,293.907,3,2,209.397,183.105,},238.506,238.506,1,58,56,80.6225774829855,17.7034524999999,246,242,10.3217305000007,,,
20,whc,Male,20,Right,6,3,229.742,28.483,5,3,163.073,134.59,},196.4075,81.5365,2,88,28,92.3471710449216,9.38332859999991,194,76,9.79362240000046,209.581886146929,172.021912418527,19.7763789999999
20,whc,Male,20,Right,3,2,209.397,183.105,1,1,18.78,194.06,?,114.0885,188.5825,1,132,132,186.676190233249,43.8033845999998,130,216,15.9563367999999,,,
20,whc,Male,20,Right,3,2,209.397,183.105,5,3,163.073,134.59,C,186.235,158.8475,2,38,204,207.509035947835,24.0471850999993,172,184,12.8139221000001,124,176,32.4213541999998
20,whc,Male,20,Right,3,2,209.397,183.105,1,1,18.78,194.06,?,114.0885,188.5825,1,122,116,168.344884092152,24.3033997000002,122,216,14.4500923000005,,,
20,whc,Male,20,Right,6,3,229.742,28.483,3,2,209.397,183.105,?,219.5695,105.794,2,42,180,184.835061608992,13.0044240000007,192,190,20.4914607000001,170,180,50.7726018000003
20,whc,Male,20,Right,5,3,163.073,134.59,6,3,229.742,28.483,},196.4075,81.5365,1,86,34,92.4770241735751,41.9006636000004,184,86,11.0154381000002,,,
20,whc,Male,20,Right,2,1,143.98,198.755,1,1,18.78,194.06,},81.38,196.4075,2,11.9999999999999,94,94.7628619238571,20.9946073000001,80,200,9.48173279999992,154.849694560058,137.504363797415,74.3809652
20,whc,Male,20,Right,4,2,267.615,293.907,1,1,18.78,194.06,?,143.1975,243.9835,0,216,34,218.659552729809,33.9694447000002,,,,,,
20,whc,Male,20,Right,5,3,163.073,134.59,6,3,229.742,28.483,},196.4075,81.5365,1,92,16,93.38094023943,26.6866241999996,184,82,11.4172024999998,,,
20,whc,Male,20,Right,1,1,18.78,194.06,2,1,143.98,198.755,},81.38,196.4075,2,9.99999999999992,94,94.5304183847718,9.37372469999991,86,190,17.2411637999994,130,128,10.6414973000001
20,whc,Male,20,Right,2,1,143.98,198.755,5,3,163.073,134.59,B,153.5265,166.6725,1,74,168,183.575597506858,23.0927670999999,111.978087581473,162.418113853071,24.3900834000005,,,
20,whc,Male,20,Right,4,2,267.615,293.907,5,3,163.073,134.59,?,215.344,214.2485,2,122,128,176.82759965571,62.3762006999996,216,128,19.3063466000003,170,174,30.1072270000004
20,whc,Male,20,Right,1,1,18.78,194.06,4,2,267.615,293.907,?,143.1975,243.9835,1,198,36,201.246117974981,10.6616161000002,168,162,16.7227319000003,,,
20,whc,Male,20,Right,3,2,209.397,183.105,2,1,143.98,198.755,C,176.6885,190.93,2,116,38,122.065556157337,10.6947652999997,134,266,13.1567883999996,154,230,22.7485057999993
20,whc,Male,20,Right,2,1,143.98,198.755,3,2,209.397,183.105,C,176.6885,190.93,1,110,30,114.017542509914,17.0655944999999,140,262,10.6951618999992,,,
20,whc,Male,20,Right,1,1,18.78,194.06,4,2,267.615,293.907,?,143.1975,243.9835,2,198,36,201.246117974981,32.7508250999999,160,168,23.2165669999995,140,224,24.358142
20,whc,Male,20,Right,4,2,267.615,293.907,2,1,143.98,198.755,?,205.7975,246.331,1,184,50,190.672494083441,22.2148932999999,168,200,18.2658172000001,,,
20,whc,Male,20,Right,6,3,229.742,28.483,3,2,209.397,183.105,?,219.5695,105.794,2,50,192,198.403628999068,23.9796326999995,218,190,30.9718220000004,160,160,59.2418388000006
20,whc,Male,20,Right,2,1,143.98,198.755,5,3,163.073,134.59,B,153.5265,166.6725,0,78,174,190.682982984848,18.9892964000001,,,,,,
20,whc,Male,20,Right,4,2,267.615,293.907,6,3,229.742,28.483,?,248.6785,161.195,1,36,110,115.741090369842,10.8167670000003,256,138,11.6728911999999,,,
20,whc,Male,20,Right,5,3,163.073,134.59,3,2,209.397,183.105,C,186.235,158.8475,2,40,218,221.639346687361,11.6014296000003,172,180,14.3753352999993,234.306440269754,155.145415677451,20.6802660999992
20,whc,Male,20,Right,5,3,163.073,134.59,2,1,143.98,198.755,B,153.5265,166.6725,0,120,160,200,18.5359158000001,,,,,,
20,whc,Male,20,Right,6,3,229.742,28.483,4,2,267.615,293.907,?,248.6785,161.195,0,24.3140157374575,110.008222791473,112.663128143238,17.8048173000007,,,,,,
20,whc,Male,20,Right,1,1,18.78,194.06,6,3,229.742,28.483,?,124.261,111.2715,1,172,64,183.521115951271,14.5592313999996,168,120,10.8016439000003,,,
20,whc,Male,20,Right,2,1,143.98,198.755,4,2,267.615,293.907,?,205.7975,246.331,2,208,1.27363267111325e-14,208,9.60558240000046,178,190,51.4695950000005,160,166,25.1219955999995
20,whc,Male,20,Right,5,3,163.073,134.59,1,1,18.78,194.06,?,90.9265,164.325,0,76,74,106.075444849409,18.4636753000004,,,,,,
20,whc,Male,20,Right,5,3,163.073,134.59,1,1,18.78,194.06,?,90.9265,164.325,1,88,86,123.044707322176,19.2574768000004,116,112,9.2813957999997,,,
20,whc,Male,20,Right,6,3,229.742,28.483,2,1,143.98,198.755,?,186.861,113.619,2,166,166,234.759451353934,11.5741295999997,164,160,9.08412260000023,135.349501199548,133.912290224293,13.8345918000005
