SubNo,raw_village_pair,pair_condition,estimate_type,n_matches,center_x_0to10,center_y_0to10,distance_to_true,distance_to_derived,true_center_x,true_center_y
2,AB,far,cross_edges,2,5.208242428019664,7.241612940494649,0.3147239293003402,0.3531004955075896,5.112,6.949
2,AB,far,same_edges,2,4.82259034823897,7.02240799123102,0.4008358669819732,0.24795098499971369,5.112,6.949
2,AC,near,cross_edges,2,4.4647552067158305,4.412011383287521,0.17679638348976473,0.5164154316874383,4.4395,4.4395
2,AC,near,same_edges,2,5.106008597747244,5.249792292789204,1.0495632264897043,1.030566393005039,4.4395,4.4395
2,BC,unknown,cross_edges,2,7.001341620284402,4.795112612007761,0.35850172570312394,0.6591602243289483,6.949,5.111999999999999
2,BC,unknown,same_edges,2,6.854420830463297,5.05567473504688,0.15036517342009292,0.1831348706812902,6.949,5.111999999999999
6,AB,far,cross_edges,2,4.793577981651376,6.376146788990825,0.6592985306632619,0.36014251982001994,5.112,6.949
6,AB,far,same_edges,2,5.229357798165138,7.385321100917431,0.4519186691911562,0.3914342291135947,5.112,6.949
6,AC,near,cross_edges,2,4.3577981651376145,4.3577981651376145,0.5986362622463545,0.6468091083829284,4.4395,4.4395
6,AC,near,same_edges,2,4.655963302752294,4.197247706422019,0.38598289375472794,0.47199562585221067,4.4395,4.4395
6,BC,unknown,cross_edges,2,7.364358645517109,5.06525544557951,0.4321501674379158,0.47944955022583524,6.949,5.111999999999999
6,BC,unknown,same_edges,2,7.13302752293578,5.36697247706422,0.3174966089240263,0.36967183556962535,6.949,5.111999999999999
8,AB,far,cross_edges,2,5.401069518716577,6.8449197860962565,0.307784122643481,0.7783296763307057,5.112,6.949
8,AB,far,same_edges,2,5.240641711229946,7.5133689839572195,0.6872908686266632,1.2351916166190418,5.112,6.949
8,AC,near,cross_edges,2,4.438502673796791,4.411764705882353,0.09756533263396482,0.2835989764117171,4.4395,4.4395
8,AC,near,same_edges,2,4.518716577540107,4.491978609625669,0.09641890906120336,0.14271345684426262,4.4395,4.4395
8,BC,unknown,cross_edges,2,7.005347593582888,5.294117647058823,0.19133976212371417,0.23810494219126493,6.949,5.111999999999999
8,BC,unknown,same_edges,2,7.112299465240641,5.213903743315507,0.19382568113740165,0.13883910169966004,6.949,5.111999999999999
9,AB,near,cross_edges,2,5.531748812467443,6.086375815523546,0.9593324178873017,0.49082700532736806,5.112,6.949
9,AB,near,same_edges,2,5.025,6.824999999999999,0.20564603765842943,0.28557271430673037,5.112,6.949
9,AC,far,cross_edges,2,4.899931476737729,5.047383202187853,0.7629163278288957,0.6242506777042973,4.4395,4.4395
9,AC,far,same_edges,2,4.949999999999999,5.025,0.776851038097526,0.7768692555014538,4.4395,4.4395
9,BC,unknown,cross_edges,3,6.5,5.45,0.6491109304271497,0.8792752697534499,6.949,5.111999999999999
9,BC,unknown,same_edges,2,6.996220943839056,5.019796783712695,0.4861145672136582,0.5663105977004588,6.949,5.111999999999999
10,AB,far,cross_edges,2,5.013404825737265,7.050938337801609,0.14679773547520858,0.7505455323161275,5.112,6.949
10,AB,far,same_edges,2,4.986595174262734,6.863270777479893,0.17868645450208226,2.0275437695038834,5.112,6.949
10,AC,near,cross_edges,2,4.4772117962466496,4.396782841823057,0.12079932713908746,0.20304851188945383,4.4395,4.4395
10,AC,near,same_edges,2,4.410013161708388,4.367511496744138,0.08355781621933389,0.19454470835101714,4.4395,4.4395
10,BC,unknown,cross_edges,2,6.915132514804327,5.485891020709204,0.37556067338027366,0.1891994861683522,6.949,5.111999999999999
10,BC,unknown,same_edges,2,6.7828418230563,5.3083109919571045,0.33344692843139173,0.2472332430066961,6.949,5.111999999999999
11,AB,near,cross_edges,2,5.099123158979454,6.820756907450644,0.29050021899656475,0.4859198677793166,5.112,6.949
11,AB,near,same_edges,2,5.02892519671822,6.249897215106593,1.1383058806521194,0.7030174862987808,5.112,6.949
11,AC,far,cross_edges,2,4.198683959392335,4.158220474820389,0.3706861170636092,0.7227093782727583,4.4395,4.4395
11,AC,far,same_edges,2,4.449897215106593,4.37892519671822,0.4422270170989524,0.44814017610464446,4.4395,4.4395
11,BC,unknown,cross_edges,3,5.246505313624156,5.266543311580499,1.7094946014223766,1.490332359849194,6.949,5.111999999999999
11,BC,unknown,same_edges,2,6.85,5.175000000000001,0.3241954648973008,0.3532819360330544,6.949,5.111999999999999
12,AB,far,cross_edges,2,5.463258785942492,6.932907348242812,0.4234262591299819,0.40890006230302633,5.112,6.949
12,AB,far,same_edges,2,5.463258785942491,6.517571884984026,0.5906758429702585,0.5974485805695278,5.112,6.949
12,AC,near,cross_edges,2,4.311426966254219,3.4184865666055773,1.0298768103822704,1.1485964157209483,4.4395,4.4395
