SubNo,Name,Gender,Age,Handedness,F1,F1V,F1X,F1Y,F2,F2V,F2X,F2Y,D,MidX,MidY,Mtask,DX,DY,ans_D,rt1,MX,MY,rt2,MMX,MMY,rt3,source,source_date,trial_index,square_side_max_abs_error_px,proc1_day3_date,day_index,square_side_rmse_px,square_side_px,scale_source,pd_date_matches_proc1_day3,F1X_0to10,F1Y_0to10,F2X_0to10,F2Y_0to10,MidX_0to10,MidY_0to10,MX_0to10,MY_0to10,MMX_0to10,MMY_0to10,DX_0to10,DY_0to10,D_0to10,ans_D_0to10,raw_condition,condition,relationship,distance_nested,learned_D_0to10,d_error_0to10,pair_label
10,lyj,Male,19,Right,4,2,318.915,350.247,1,1,22.38,231.26,319.5166856269012,170.6475,290.75350000000003,0,238.0,78.00000000000001,250.45558488482544,35.33772860110366,,,,,,,PDtask-10-2026-03-29.mat,2026-03-29,1,0.0,2026-03-29,3,0.0,373,proc1_day3,True,8.55,9.39,0.6,6.2,4.575,7.795000000000001,,,,,6.380697050938338,2.0911528150134053,8.566130981954457,6.714626940611942,AB,far,different,far,6.685056843438207,0.029570097173735377,1-4
10,lyj,Male,19,Right,6,3,273.782,33.943,3,2,249.537,218.20499999999998,185.8502210625535,261.6595,126.07399999999998,0,48.0,204.0,209.57099035887578,24.96155456651286,,,,,,,PDtask-10-2026-03-29.mat,2026-03-29,2,0.0,2026-03-29,3,0.0,373,proc1_day3,True,7.34,0.9099999999999999,6.69,5.85,7.014999999999999,3.38,,,,,1.2868632707774799,5.46916890080429,4.982579653151568,5.61852521069372,BC,unknown,different,unknown,5.482449543771469,0.1360756669222516,3-6
10,lyj,Male,19,Right,2,1,171.57999999999998,236.855,5,3,194.333,160.39,79.77841333343251,182.9565,198.6225,0,60.0,188.0,197.34234213670416,22.12123926651293,,,,,,,PDtask-10-2026-03-29.mat,2026-03-29,3,0.0,2026-03-29,3,0.0,373,proc1_day3,True,4.6,6.35,5.21,4.299999999999999,4.905,5.324999999999999,,,,,1.6085790884718498,5.040214477211796,2.138831456660389,5.290679413852658,AC,near,different,near,6.1185006333251275,-0.8278212194724697,2-5
10,lyj,Male,19,Right,3,2,249.537,218.20499999999998,4,2,318.915,350.247,149.15896435682305,284.226,284.226,1,90.0,50.00000000000001,102.95630140987001,39.80415978380779,264.0,294.0,72.48258578380819,,,,PDtask-10-2026-03-29.mat,2026-03-29,4,0.0,2026-03-29,3,0.0,373,proc1_day3,True,6.69,5.85,8.55,9.39,7.62,7.62,7.07774798927614,7.882037533512064,,,2.4128686327077746,1.3404825737265416,3.9988998487083927,2.7602225579053625,same,same,same,,2.999433613200998,-0.2392110552956357,3-4
10,lyj,Male,19,Right,5,3,194.333,160.39,6,3,273.782,33.943,149.33515128729738,234.0575,97.16649999999998,2,90.0,32.00000000000001,95.51963149007643,20.687806101103888,226.0,92.00000000000001,44.60934866651269,256.0,206.0,71.26787177516053,PDtask-10-2026-03-29.mat,2026-03-29,5,0.0,2026-03-29,3,0.0,373,proc1_day3,True,5.21,4.299999999999999,7.34,0.9099999999999999,6.275,2.6049999999999995,6.058981233243967,2.4664879356568368,6.863270777479893,5.522788203753351,2.4128686327077746,0.8579088471849867,4.003623358908777,2.5608480292245694,same,same,same,,3.000408305547763,-0.4395602763231934,5-6
10,lyj,Male,19,Right,5,3,194.333,160.39,3,2,249.537,218.20499999999998,79.93782484531337,221.935,189.29749999999999,1,29.999999999999567,244.0,245.83734460004234,26.8350491924557,212.0,210.0,31.585905283808188,,,,PDtask-10-2026-03-29.mat,2026-03-29,6,0.0,2026-03-29,3,0.0,373,proc1_day3,True,5.21,4.299999999999999,6.69,5.85,5.949999999999999,5.074999999999999,5.683646112600536,5.630026809651475,,,0.8042895442359133,6.541554959785523,2.143105223734943,6.590813528151269,BC,unknown,different,unknown,6.684913836393106,-0.09410030824183657,3-5
10,lyj,Male,19,Right,6,3,273.782,33.943,4,2,318.915,350.247,319.5077590685397,296.3485,192.095,2,42.0,150.0,155.76905982896602,20.323108183808017,302.0,188.0,29.708081775160736,257.8688856044028,201.24747014490657,79.75786117516054,PDtask-10-2026-03-29.mat,2026-03-29,7,0.0,2026-03-29,3,0.0,373,proc1_day3,True,7.34,0.9099999999999999,8.55,9.39,7.945,5.15,8.09651474530831,5.040214477211796,6.9133749491797,5.3953745347159945,1.126005361930295,4.021447721179625,8.565891664035917,4.17611420452992,BC,unknown,different,unknown,3.716036194656882,0.46007800987303815,4-6
10,lyj,Male,19,Right,5,3,194.333,160.39,2,1,171.57999999999998,236.855,79.77841333343251,182.9565,198.6225,0,72.0,186.0,199.44924166313595,21.07462947516069,,,,,,,PDtask-10-2026-03-29.mat,2026-03-29,8,0.0,2026-03-29,3,0.0,373,proc1_day3,True,5.21,4.299999999999999,4.6,6.35,4.905,5.324999999999999,,,,,1.9302949061662198,4.986595174262734,2.138831456660389,5.3471646558481485,AC,near,different,near,6.1185006333251275,-0.771335977476979,2-5
10,lyj,Male,19,Right,2,1,171.57999999999998,236.855,4,2,318.915,350.247,185.9175835928383,245.2475,293.551,0,219.9534041816554,29.779422512260105,221.9601631290227,37.08844419245588,,,,,,,PDtask-10-2026-03-29.mat,2026-03-29,9,0.0,2026-03-29,3,0.0,373,proc1_day3,True,4.6,6.35,8.55,9.39,6.574999999999999,7.869999999999999,,,,,5.896874106746793,0.7983759386664907,4.984385619110946,5.950674614719107,AB,far,different,far,6.1185933841038995,-0.16791876938479255,2-4
10,lyj,Male,19,Right,4,2,318.915,350.247,6,3,273.782,33.943,319.5077590685397,296.3485,192.095,0,44.0,142.0,148.66068747318505,20.169182483808072,,,,,,,PDtask-10-2026-03-29.mat,2026-03-29,10,0.0,2026-03-29,3,0.0,373,proc1_day3,True,8.55,9.39,7.34,0.9099999999999999,7.945,5.15,,,,,1.1796246648793565,3.806970509383378,8.565891664035917,3.985541219120243,BC,unknown,different,unknown,3.716036194656882,0.2695050244633608,4-6
10,lyj,Male,19,Right,1,1,22.38,231.26,3,2,249.537,218.20499999999998,227.53183441883468,135.95850000000002,224.7325,0,128.0,116.0,172.74258305351347,34.45171907516078,,,,,,,PDtask-10-2026-03-29.mat,2026-03-29,11,0.0,2026-03-29,3,0.0,373,proc1_day3,True,0.6,6.2,6.69,5.85,3.6450000000000005,6.0249999999999995,,,,,3.4316353887399464,3.1099195710455763,6.100049180129616,4.631168446474892,AB,far,different,far,5.482720219015374,-0.851551772540482,1-3
10,lyj,Male,19,Right,5,3,194.333,160.39,1,1,22.38,231.26,185.98492172485382,108.3565,195.825,1,92.0,102.0,137.3608386695422,26.136092475160694,129.32575153748368,121.55184469259805,22.803263475160293,,,,PDtask-10-2026-03-29.mat,2026-03-29,12,0.0,2026-03-29,3,0.0,373,proc1_day3,True,5.21,4.299999999999999,0.6,6.2,2.905,5.25,3.4671783254017075,3.258762592294854,,,2.4664879356568363,2.734584450402145,4.986190930961229,3.6825962109796837,AC,near,different,near,3.7151457575712965,-0.0325495465916128,1-5
10,lyj,Male,19,Right,6,3,273.782,33.943,2,1,171.57999999999998,236.855,227.19711386371085,222.68099999999998,135.399,2,164.0,162.0,230.52114870440846,18.53039138380882,200.0,200.0,24.70807458380841,166.0,160.0,56.682314566513014,PDtask-10-2026-03-29.mat,2026-03-29,13,0.0,2026-03-29,3,0.0,373,proc1_day3,True,7.34,0.9099999999999999,4.6,6.35,5.97,3.63,5.361930294906166,5.361930294906166,4.450402144772118,4.289544235924933,4.396782841823057,4.343163538873995,6.091075438705385,6.180191654273686,AC,near,different,near,6.685304779888497,-0.5051131256148116,2-6
10,lyj,Male,19,Right,6,3,273.782,33.943,3,2,249.537,218.20499999999998,185.8502210625535,261.6595,126.07399999999998,0,42.0,200.0,204.3624231604235,12.563866683808556,,,,,,,PDtask-10-2026-03-29.mat,2026-03-29,14,0.0,2026-03-29,3,0.0,373,proc1_day3,True,7.34,0.9099999999999999,6.69,5.85,7.014999999999999,3.38,,,,,1.126005361930295,5.361930294906166,4.982579653151568,5.4788853394215415,BC,unknown,different,unknown,5.482449543771469,-0.0035642043499271026,3-6
10,lyj,Male,19,Right,4,2,318.915,350.247,6,3,273.782,33.943,319.5077590685397,296.3485,192.095,0,38.0,144.0,148.92951352905172,17.66033349245572,,,,,,,PDtask-10-2026-03-29.mat,2026-03-29,15,0.0,2026-03-29,3,0.0,373,proc1_day3,True,8.55,9.39,7.34,0.9099999999999999,7.945,5.15,,,,,1.0187667560321716,3.8605898123324396,8.565891664035917,3.9927483519853006,BC,unknown,different,unknown,3.716036194656882,0.2767121573284186,4-6
