condition,n_trials,mean,sd,se
far,416,-0.2909372481674413,1.2464983463569956,0.06111460953591787
near,416,-0.3043879351345373,1.0750022793030427,0.05270632307041285
same,312,0.01631137566258702,1.2692280309939705,0.07185588752935189
unknown,416,-0.21728243397953959,1.159951132759804,0.05687128327650284
