SubNo,source_date,prev_trial_index,trial_index,raw_village_pair,pair_condition,estimate_type,prev_pair_label,current_pair_label,center_x_0to10,center_y_0to10,prev_mid_x_0to10,prev_mid_y_0to10,current_mid_x_0to10,current_mid_y_0to10,derived_center_x_0to10,derived_center_y_0to10,true_center_x,true_center_y,distance_to_true,distance_to_derived
11,2025-11-25,50,51,BC,unknown,cross_edges,4-6,3-5,3.3677786976552176e-16,5.5,7.7,4.35,5.5,5.75,6.6,5.05,6.949,5.111999999999999,6.959823632822889,6.6153231213599835
11,2025-11-25,33,34,BC,unknown,same_edges,5-6,3-4,7.1,5.3500000000000005,5.949999999999999,2.55,7.6,7.65,6.7749999999999995,5.1,6.949,5.111999999999999,0.2818598942737341,0.41003048667141884
11,2025-11-25,36,37,BC,unknown,same_edges,5-6,3-4,6.6000000000000005,5.0,6.05,2.8000000000000003,7.5668222369501486,7.621885550118059,6.808411118475075,5.21094277505903,6.949,5.111999999999999,0.3665310355208674,0.29653338539469
12,2026-04-12,6,7,AB,far,cross_edges,1-4,2-3,5.303514376996805,7.156549520766773,6.453674121405751,5.814696485623003,4.856230031948882,8.242811501597444,5.654952076677317,7.0287539936102235,5.112,6.949,0.2824084987513505,0.3739520738249084
12,2026-04-12,27,28,AB,far,cross_edges,1-4,2-3,5.623003194888179,6.70926517571885,5.7507987220447285,6.006389776357828,4.728434504792332,7.859424920127795,5.23961661341853,6.932907348242812,5.112,6.949,0.5644440195086133,0.4438480507811442
12,2026-04-12,17,18,AB,far,same_edges,1-2,3-4,5.175718849840255,6.5814696485623,2.8115015974440896,5.111821086261981,8.05111821086262,7.220447284345049,5.4313099041533555,6.166134185303514,5.112,6.949,0.3730129368438634,0.4876785150950086
12,2026-04-12,57,58,AB,far,same_edges,1-2,3-4,5.7507987220447285,6.453674121405751,2.5559105431309903,6.325878594249201,7.603833865814696,7.0287539936102235,5.079872204472843,6.677316293929712,5.112,6.949,0.8083387490966538,0.7072186460440468
12,2026-04-12,11,12,AC,near,cross_edges,1-5,2-6,4.4089456869009584,3.8977635782747604,3.3865814696485623,4.02555910543131,5.431309904153354,5.047923322683706,4.4089456869009584,4.536741214057509,4.4395,4.4395,0.5425973798984112,0.6389776357827484
12,2026-04-12,39,40,AC,near,cross_edges,2-6,1-5,4.21390824560748,2.9392095549363946,5.021858774098268,6.191002879575478,3.494312093453185,3.002669470193447,4.258085433775727,4.596836174884462,4.4395,4.4395,1.5171562408661297,1.6582151956591484
12,2026-04-12,42,43,AC,near,same_edges,5-6,1-2,3.6421725239616616,3.3865814696485623,6.325878594249201,1.7891373801916932,2.428115015974441,6.198083067092651,4.376996805111821,3.993610223642172,4.4395,4.4395,1.3207454469363495,0.9531267661454498
12,2026-04-12,51,52,AC,near,same_edges,1-2,5-6,3.322683706070287,3.706070287539936,3.0670926517571884,5.878594249201278,6.134185303514377,1.2779552715654958,4.600638977635782,3.578274760383387,4.4395,4.4395,1.3361129359100414,1.2843291528588994
