condition,n_subjects,mean,sd,se
far,26,-0.2909372481674414,0.8200723786222126,0.1608294254289659
near,26,-0.3043879351345373,0.6635160037734734,0.13012619426238634
same,26,0.016311375662587033,0.4632199468613484,0.09084490569736263
unknown,26,-0.21728243397953959,0.7901238341790182,0.15495603263975247
