SubNo,Name,Gender,Age,Handedness,F0,F1,F2,F0V,F1V,F2V,type,order,correct_ans,answer,acc,rt
6,yhc,Female,18,Right,2,6,5,1,3,3,2,1,2,1,0,6.10961790213105
6,yhc,Female,18,Right,2,3,4,1,2,2,2,2,2,1,0,4.63278634307835
6,yhc,Female,18,Right,2,4,3,1,2,2,2,1,2,2,1,1.23264954781234
6,yhc,Female,18,Right,6,5,2,3,3,1,1,1,1,1,1,0.709996699528801
6,yhc,Female,18,Right,3,1,2,2,1,1,2,1,2,1,0,6.58063574177686
6,yhc,Female,18,Right,1,3,5,1,2,3,3,1,2,2,1,3.02592944307844
6,yhc,Female,18,Right,1,6,4,1,3,2,3,2,2,2,1,2.09069142970611
6,yhc,Female,18,Right,1,6,3,1,3,2,3,2,2,2,1,0.609442693493293
6,yhc,Female,18,Right,6,2,1,2,1,1,2,1,1,2,0,4.06866281290104
6,yhc,Female,18,Right,1,2,3,1,1,2,1,2,2,2,1,1.22784603574155
6,yhc,Female,18,Right,2,1,4,1,1,2,1,2,2,2,1,1.12976564781229
6,yhc,Female,18,Right,2,1,3,1,1,2,1,1,1,1,1,0.819911652546125
6,yhc,Female,18,Right,3,4,5,2,2,3,1,1,1,1,1,0.90316414177687
6,yhc,Female,18,Right,2,5,4,1,3,2,3,1,1,1,1,2.85906586201463
6,yhc,Female,18,Right,5,6,4,3,3,2,1,1,1,1,1,0.602404653847771
6,yhc,Female,18,Right,6,5,1,3,3,1,1,1,1,1,1,0.434118929706074
6,yhc,Female,18,Right,5,2,1,2,1,1,2,1,1,1,1,3.63988488402492
6,yhc,Female,18,Right,5,1,2,2,1,1,2,1,2,2,1,1.3719918404754
6,yhc,Female,18,Right,1,5,6,1,3,3,2,1,1,2,0,1.11338531976662
6,yhc,Female,18,Right,1,5,4,1,3,2,3,1,1,1,1,1.09982017798984
6,yhc,Female,18,Right,2,6,3,1,3,2,3,1,1,1,1,1.51960901290067
6,yhc,Female,18,Right,1,4,5,1,2,3,3,2,1,1,1,5.82551021763493
6,yhc,Female,18,Right,2,3,5,1,2,3,3,1,2,2,1,1.45356913574142
6,yhc,Female,18,Right,4,3,5,2,2,3,1,1,1,1,1,0.874752808996618
6,yhc,Female,18,Right,1,3,6,1,2,3,3,2,1,1,1,1.22771812970586
6,yhc,Female,18,Right,6,1,2,2,1,1,2,1,2,1,0,3.07733510686558
6,yhc,Female,18,Right,2,1,6,1,1,3,1,1,1,1,1,0.612795682723572
6,yhc,Female,18,Right,2,5,6,1,3,3,2,1,1,1,1,1.79199656674837
6,yhc,Female,18,Right,1,2,4,1,1,2,1,1,1,1,1,0.738902812901415
6,yhc,Female,18,Right,2,5,3,1,3,2,3,1,1,1,1,0.932892793493011
6,yhc,Female,18,Right,4,2,1,2,1,1,2,1,1,2,0,2.655168494794
6,yhc,Female,18,Right,5,6,2,3,3,1,1,1,1,1,1,1.10746564307829
6,yhc,Female,18,Right,2,4,6,1,2,3,3,1,2,2,1,2.60235672367025
6,yhc,Female,18,Right,2,6,4,1,3,2,3,1,1,1,1,0.965135853847642
6,yhc,Female,18,Right,2,3,6,1,2,3,3,2,1,1,1,1.3616705598829
6,yhc,Female,18,Right,2,1,5,1,1,3,1,2,2,2,1,0.954383111599782
6,yhc,Female,18,Right,1,3,4,1,2,2,2,2,2,2,1,5.73982042497164
6,yhc,Female,18,Right,2,4,5,1,2,3,3,1,2,2,1,1.90719904307844
6,yhc,Female,18,Right,1,6,5,1,3,3,2,1,2,2,1,85.31382690083
6,yhc,Female,18,Right,1,5,3,1,3,2,3,2,2,1,0,1.42389578402481
6,yhc,Female,18,Right,5,6,1,3,3,1,1,1,1,1,1,0.64943110686545
6,yhc,Female,18,Right,3,2,1,2,1,1,2,1,1,2,0,3.93560692710344
6,yhc,Female,18,Right,6,5,4,3,3,2,1,1,1,1,1,0.6310841176346
6,yhc,Female,18,Right,1,4,6,1,2,3,3,1,2,2,1,1.45759214177679
6,yhc,Female,18,Right,1,4,3,1,2,2,2,1,2,2,1,2.17114348272389
6,yhc,Female,18,Right,4,1,2,2,1,1,2,1,2,2,1,3.76357904781207
6,yhc,Female,18,Right,4,3,2,2,2,1,1,1,1,1,1,0.614354141776857
6,yhc,Female,18,Right,3,4,6,2,2,3,1,1,1,1,1,0.7979377887591
