SubNo,Name,Gender,Age,Handedness,F0,F1,F2,F0V,F1V,F2V,type,order,correct_ans,answer,acc,rt
15,xhty,Male,21,Right,1,4,3,1,2,2,2,1,2,1,0,2.76566406607344
15,xhty,Male,21,Right,6,1,2,2,1,1,2,1,2,1,0,1.89622655241146
15,xhty,Male,21,Right,1,5,4,1,3,2,3,1,2,2,1,0.655858100500154
15,xhty,Male,21,Right,2,1,4,1,1,2,1,1,1,1,1,0.476892537358708
15,xhty,Male,21,Right,2,5,3,1,3,2,3,1,2,2,1,0.621776242029227
15,xhty,Male,21,Right,2,3,6,1,2,3,3,1,1,1,1,1.47680158251524
15,xhty,Male,21,Right,2,6,5,1,3,3,2,1,2,1,0,1.43378620223757
15,xhty,Male,21,Right,2,3,4,1,2,2,2,2,2,1,0,0.852278532342098
15,xhty,Male,21,Right,2,1,6,1,1,3,1,2,2,2,1,1.94975144237651
15,xhty,Male,21,Right,2,5,6,1,3,3,2,1,1,2,0,1.46760519999998
15,xhty,Male,21,Right,1,3,5,1,2,3,3,2,2,2,1,2.26407176746352
15,xhty,Male,21,Right,4,2,1,2,1,1,2,1,1,2,0,3.04161056244584
15,xhty,Male,21,Right,1,6,5,1,3,3,2,1,2,1,0,1.41516527248086
15,xhty,Male,21,Right,1,6,3,1,3,2,3,1,2,2,1,1.0303533707438
15,xhty,Male,21,Right,1,4,5,1,2,3,3,2,2,2,1,1.90522996140362
15,xhty,Male,21,Right,1,5,6,1,3,3,2,2,2,2,1,2.31705839999995
15,xhty,Male,21,Right,6,5,4,3,3,2,1,1,1,1,1,0.72354784237632
15,xhty,Male,21,Right,3,2,1,2,1,1,2,1,1,1,1,1.78264547248091
15,xhty,Male,21,Right,6,5,1,3,3,1,1,1,1,1,1,0.875013637011762
15,xhty,Male,21,Right,1,3,4,1,2,2,2,1,1,2,0,2.69216767248054
15,xhty,Male,21,Right,1,5,3,1,3,2,3,2,1,1,1,2.40856463735872
15,xhty,Male,21,Right,3,4,1,2,2,1,1,1,1,1,1,0.51587127248149
15,xhty,Male,21,Right,4,3,2,2,2,1,1,1,1,1,1,0.543171930604331
15,xhty,Male,21,Right,5,1,2,2,1,1,2,1,2,1,0,5.78980214063904
15,xhty,Male,21,Right,6,5,2,3,3,1,1,1,1,1,1,0.677596320917473
15,xhty,Male,21,Right,1,2,6,1,1,3,1,1,1,1,1,0.578640177151101
15,xhty,Male,21,Right,5,2,1,2,1,1,2,1,1,1,1,3.03955658579616
15,xhty,Male,21,Right,4,3,6,2,2,3,1,1,1,1,1,0.405153267463902
15,xhty,Male,21,Right,2,6,3,1,3,2,3,1,2,2,1,1.47239957749844
15,xhty,Male,21,Right,5,6,1,3,3,1,1,1,1,1,1,0.389277157428296
15,xhty,Male,21,Right,3,1,2,2,1,1,2,1,2,1,0,3.0972564473941
15,xhty,Male,21,Right,2,4,3,1,2,2,2,2,1,2,0,1.76107370000045
15,xhty,Male,21,Right,4,3,5,2,2,3,1,1,1,1,1,0.630115847394336
15,xhty,Male,21,Right,2,4,5,1,2,3,3,1,1,1,1,2.23677413234145
15,xhty,Male,21,Right,5,6,4,3,3,2,1,1,1,1,1,0.630884199999855
15,xhty,Male,21,Right,2,1,5,1,1,3,1,1,1,1,1,0.557265487533186
15,xhty,Male,21,Right,1,3,6,1,2,3,3,2,2,2,1,1.3911311456568
15,xhty,Male,21,Right,6,2,1,2,1,1,2,1,1,2,0,2.29185797248101
15,xhty,Male,21,Right,2,4,6,1,2,3,3,1,1,1,1,1.62805369999933
15,xhty,Male,21,Right,2,6,4,1,3,2,3,1,2,2,1,1.49067560000003
15,xhty,Male,21,Right,4,1,2,2,1,1,2,1,2,1,0,1.57038316244598
15,xhty,Male,21,Right,2,1,3,1,1,2,1,2,2,2,1,1.8350789524111
15,xhty,Male,21,Right,1,6,4,1,3,2,3,2,1,1,1,2.30502127213367
15,xhty,Male,21,Right,2,5,4,1,3,2,3,1,2,2,1,1.15281593234158
15,xhty,Male,21,Right,2,3,5,1,2,3,3,1,1,1,1,1.93042799999967
15,xhty,Male,21,Right,3,4,5,2,2,3,1,1,1,1,1,2.31298481088197
15,xhty,Male,21,Right,1,4,6,1,2,3,3,1,1,1,1,1.59620403234203
15,xhty,Male,21,Right,1,2,5,1,1,3,1,2,2,2,1,4.4561755724817
