SubNo,Name,Gender,Age,Handedness,F0,F1,F2,F0V,F1V,F2V,type,order,correct_ans,answer,acc,rt
18,wbx,Male,18,Right,3,4,2,2,2,1,1,1,1,1,1,1.21371369999997
18,wbx,Male,18,Right,4,2,1,2,1,1,2,1,1,1,1,19.1128058000004
18,wbx,Male,18,Right,6,5,4,3,3,2,1,1,1,1,1,2.18494559999999
18,wbx,Male,18,Right,6,5,2,3,3,1,1,1,1,1,1,1.29224380000005
18,wbx,Male,18,Right,1,2,5,1,1,3,1,2,2,2,1,1.35008280000011
18,wbx,Male,18,Right,4,3,1,2,2,1,1,1,1,1,1,0.63328730000012
18,wbx,Male,18,Right,2,1,3,1,1,2,1,1,1,1,1,0.415040100000169
18,wbx,Male,18,Right,2,3,6,1,2,3,3,1,2,2,1,1.91406110000025
18,wbx,Male,18,Right,1,3,5,1,2,3,3,2,1,1,1,0.906362700000045
18,wbx,Male,18,Right,1,5,6,1,3,3,2,1,1,2,0,3.80617529999972
18,wbx,Male,18,Right,1,4,3,1,2,2,2,1,2,2,1,6.50833950000015
18,wbx,Male,18,Right,2,6,5,1,3,3,2,1,2,1,0,4.76587190000009
18,wbx,Male,18,Right,4,3,6,2,2,3,1,1,1,1,1,1.87184320000006
18,wbx,Male,18,Right,2,5,4,1,3,2,3,1,1,1,1,1.75319889999992
18,wbx,Male,18,Right,5,6,3,3,3,2,1,1,1,1,1,1.42938319999985
18,wbx,Male,18,Right,6,1,2,2,1,1,2,1,2,1,0,2.96714520000023
18,wbx,Male,18,Right,1,4,6,1,2,3,3,1,2,2,1,3.3250323000002
18,wbx,Male,18,Right,1,6,3,1,3,2,3,2,2,2,1,3.48515100000031
18,wbx,Male,18,Right,2,1,4,1,1,2,1,2,2,2,1,1.21030329999985
18,wbx,Male,18,Right,4,1,2,2,1,1,2,1,2,2,1,3.23264380000001
18,wbx,Male,18,Right,2,6,3,1,3,2,3,1,1,1,1,1.04048590000002
18,wbx,Male,18,Right,6,5,1,3,3,1,1,1,1,1,1,1.41373740000017
18,wbx,Male,18,Right,1,6,4,1,3,2,3,2,2,2,1,1.99726830000009
18,wbx,Male,18,Right,2,3,5,1,2,3,3,1,2,2,1,0.959230200000093
18,wbx,Male,18,Right,1,3,6,1,2,3,3,2,1,1,1,1.22377180000012
18,wbx,Male,18,Right,1,6,5,1,3,3,2,1,2,1,0,2.87079039999981
18,wbx,Male,18,Right,1,4,5,1,2,3,3,2,1,1,1,1.3076031999999
18,wbx,Male,18,Right,3,1,2,2,1,1,2,1,2,1,0,3.72131160000026
18,wbx,Male,18,Right,3,2,1,2,1,1,2,1,1,2,0,3.05308079999986
18,wbx,Male,18,Right,2,3,4,1,2,2,2,2,2,2,1,6.42723049999995
18,wbx,Male,18,Right,2,4,6,1,2,3,3,1,2,2,1,0.929115899999942
18,wbx,Male,18,Right,2,5,6,1,3,3,2,1,1,2,0,2.43506250000019
18,wbx,Male,18,Right,1,5,3,1,3,2,3,1,1,1,1,1.24323710000044
18,wbx,Male,18,Right,6,2,1,2,1,1,2,1,1,2,0,1.31494220000013
18,wbx,Male,18,Right,1,2,6,1,1,3,1,1,1,1,1,0.920399299999644
18,wbx,Male,18,Right,2,4,5,1,2,3,3,1,2,2,1,2.32800289999977
18,wbx,Male,18,Right,5,2,1,2,1,1,2,1,1,1,1,3.06242889999976
18,wbx,Male,18,Right,5,6,1,3,3,1,1,1,1,1,1,0.779837900000075
18,wbx,Male,18,Right,1,3,4,1,2,2,2,1,1,1,1,4.43952080000008
18,wbx,Male,18,Right,3,4,6,2,2,3,1,1,1,1,1,1.00973579999982
18,wbx,Male,18,Right,5,1,2,2,1,1,2,1,2,1,0,0.641842900000029
18,wbx,Male,18,Right,5,6,4,3,3,2,1,1,1,1,1,0.619522399999823
18,wbx,Male,18,Right,4,3,2,2,2,1,1,1,1,1,1,0.961293500000011
18,wbx,Male,18,Right,2,6,4,1,3,2,3,1,1,1,1,0.987034100000074
18,wbx,Male,18,Right,3,4,1,2,2,1,1,1,1,1,1,1.24120799999992
18,wbx,Male,18,Right,1,5,4,1,3,2,3,2,2,2,1,0.767653200000041
18,wbx,Male,18,Right,2,4,3,1,2,2,2,2,1,1,1,2.25718319999987
18,wbx,Male,18,Right,2,5,3,1,3,2,3,1,1,1,1,1.52450619999991
