SubNo,Name,Gender,Age,Handedness,F0,F1,F2,F0V,F1V,F2V,type,order,correct_ans,answer,acc,rt
21,zys,Female,20,Right,2,1,6,1,1,3,1,1,1,1,1,0.910848100000294
21,zys,Female,20,Right,1,3,4,1,2,2,2,2,2,2,1,2.4553664999994
21,zys,Female,20,Right,1,4,5,1,2,3,3,2,2,2,1,2.45682059999945
21,zys,Female,20,Right,1,6,4,1,3,2,3,2,1,1,1,0.959057400000347
21,zys,Female,20,Right,1,6,3,1,3,2,3,2,1,1,1,0.875961315935456
21,zys,Female,20,Right,2,3,6,1,2,3,3,1,1,1,1,0.97303398742406
21,zys,Female,20,Right,6,5,3,3,3,2,1,1,1,1,1,0.49000967190841
21,zys,Female,20,Right,2,1,4,1,1,2,1,2,2,1,0,0.578813210133376
21,zys,Female,20,Right,5,6,4,3,3,2,1,1,1,1,1,0.348006900000655
21,zys,Female,20,Right,3,1,2,2,1,1,2,1,2,1,0,1.79422496450297
21,zys,Female,20,Right,1,2,4,1,1,2,1,1,1,1,1,1.02261317854936
21,zys,Female,20,Right,1,6,5,1,3,3,2,1,2,2,1,1.60234320000018
21,zys,Female,20,Right,2,4,6,1,2,3,3,1,1,1,1,1.73024499999974
21,zys,Female,20,Right,5,1,2,2,1,1,2,1,2,1,0,2.81720769999993
21,zys,Female,20,Right,2,6,3,1,3,2,3,1,2,2,1,1.58881126715642
21,zys,Female,20,Right,6,1,2,2,1,1,2,1,2,2,1,2.30140750747978
21,zys,Female,20,Right,2,5,4,1,3,2,3,1,2,2,1,1.5534990999995
21,zys,Female,20,Right,2,4,5,1,2,3,3,1,1,1,1,1.56328099999973
21,zys,Female,20,Right,5,6,1,3,3,1,1,1,1,1,1,0.27262570000039
21,zys,Female,20,Right,4,1,2,2,1,1,2,1,2,1,0,1.60571929999969
21,zys,Female,20,Right,4,3,5,2,2,3,1,1,1,1,1,0.353800350038
21,zys,Female,20,Right,4,2,1,2,1,1,2,1,1,1,1,2.42793239999992
21,zys,Female,20,Right,3,2,1,2,1,1,2,1,1,1,1,1.49092046240457
21,zys,Female,20,Right,3,4,2,2,2,1,1,1,1,1,1,0.355247800000143
21,zys,Female,20,Right,1,2,6,1,1,3,1,2,2,2,1,0.533652071908364
21,zys,Female,20,Right,1,4,3,1,2,2,2,2,1,2,0,2.53312356715651
21,zys,Female,20,Right,6,5,2,3,3,1,1,1,1,1,1,0.351532816564031
21,zys,Female,20,Right,2,4,3,1,2,2,2,2,1,1,1,1.75406456240489
21,zys,Female,20,Right,1,2,3,1,1,2,1,2,2,2,1,1.60430910000014
21,zys,Female,20,Right,2,6,4,1,3,2,3,1,2,2,1,0.699898983301864
21,zys,Female,20,Right,1,5,4,1,3,2,3,1,2,2,1,0.288490899999488
21,zys,Female,20,Right,5,6,3,3,3,2,1,1,1,1,1,0.389189362404977
21,zys,Female,20,Right,2,3,4,1,2,2,2,2,2,2,1,2.57826600000044
21,zys,Female,20,Right,6,2,1,2,1,1,2,1,1,2,0,0.426774630610453
21,zys,Female,20,Right,2,1,5,1,1,3,1,2,2,2,1,0.741903357652518
21,zys,Female,20,Right,5,2,1,2,1,1,2,1,1,2,0,0.672528600000078
21,zys,Female,20,Right,1,5,3,1,3,2,3,2,1,1,1,1.18970179999997
21,zys,Female,20,Right,2,3,5,1,2,3,3,1,1,1,1,1.17027440000038
21,zys,Female,20,Right,6,5,1,3,3,1,1,1,1,1,1,0.363637771908543
21,zys,Female,20,Right,2,5,3,1,3,2,3,1,2,2,1,0.721109367156714
21,zys,Female,20,Right,2,5,6,1,3,3,2,1,1,2,0,0.396692500000427
21,zys,Female,20,Right,2,6,5,1,3,3,2,1,2,2,1,0.473430300000473
21,zys,Female,20,Right,1,2,5,1,1,3,1,1,1,1,1,0.438804471908043
21,zys,Female,20,Right,1,3,5,1,2,3,3,1,1,1,1,1.42138466429242
21,zys,Female,20,Right,1,5,6,1,3,3,2,1,1,2,0,1.10076019999997
21,zys,Female,20,Right,4,3,6,2,2,3,1,1,1,1,1,0.3647778719087
21,zys,Female,20,Right,1,3,6,1,2,3,3,1,1,1,1,1.02243658616408
21,zys,Female,20,Right,1,4,6,1,2,3,3,1,1,1,1,1.49408510000012
