SubNo,Name,Gender,Age,Handedness,F0,F1,F2,F0V,F1V,F2V,type,order,correct_ans,answer,acc,rt
14,wrn,Female,24,Right,1,3,5,1,2,3,3,2,1,1,1,0.869404199998826
14,wrn,Female,24,Right,2,1,3,1,1,2,1,1,1,1,1,0.71305239999856
14,wrn,Female,24,Right,3,2,1,2,1,1,2,1,1,1,1,1.61410830000023
14,wrn,Female,24,Right,6,5,4,3,3,2,1,1,1,1,1,0.699707200001285
14,wrn,Female,24,Right,1,5,3,1,3,2,3,1,1,1,1,0.879973499999323
14,wrn,Female,24,Right,6,1,2,2,1,1,2,1,2,1,0,1.08788219999769
14,wrn,Female,24,Right,2,5,4,1,3,2,3,1,1,1,1,0.914015900001687
14,wrn,Female,24,Right,3,1,2,2,1,1,2,1,2,1,0,0.912665600000764
14,wrn,Female,24,Right,2,4,5,1,2,3,3,1,2,2,1,0.666129700002784
14,wrn,Female,24,Right,1,3,4,1,2,2,2,1,1,2,0,0.652942000000621
14,wrn,Female,24,Right,3,4,5,2,2,3,1,1,1,1,1,0.519043399999646
14,wrn,Female,24,Right,1,6,3,1,3,2,3,1,1,1,1,0.672706800000014
14,wrn,Female,24,Right,1,6,5,1,3,3,2,2,1,1,1,1.1541507999973
14,wrn,Female,24,Right,1,2,6,1,1,3,1,1,1,1,1,0.417979800000467
14,wrn,Female,24,Right,4,3,5,2,2,3,1,1,1,1,1,0.493065400001797
14,wrn,Female,24,Right,5,1,2,2,1,1,2,1,2,1,0,1.01959310000166
14,wrn,Female,24,Right,6,5,2,3,3,1,1,1,1,1,1,0.374033200001577
14,wrn,Female,24,Right,6,2,1,2,1,1,2,1,1,1,1,0.723868299999594
14,wrn,Female,24,Right,1,3,6,1,2,3,3,2,1,1,1,0.747005800003535
14,wrn,Female,24,Right,1,5,6,1,3,3,2,2,2,1,0,0.685084600001574
14,wrn,Female,24,Right,2,3,5,1,2,3,3,1,2,2,1,0.992626200000814
14,wrn,Female,24,Right,5,2,1,2,1,1,2,1,1,2,0,0.914104999999836
14,wrn,Female,24,Right,2,5,6,1,3,3,2,1,1,1,1,0.84997629999998
14,wrn,Female,24,Right,2,4,6,1,2,3,3,1,2,1,0,64.9092759999985
14,wrn,Female,24,Right,5,6,3,3,3,2,1,1,1,2,0,51.4768887999999
14,wrn,Female,24,Right,4,1,2,2,1,1,2,1,2,1,0,2.19682239999747
14,wrn,Female,24,Right,1,6,4,1,3,2,3,1,1,1,1,1.03886799999964
14,wrn,Female,24,Right,3,4,1,2,2,1,1,1,1,1,1,0.757014999999228
14,wrn,Female,24,Right,1,5,4,1,3,2,3,2,2,2,1,1.29684609999822
14,wrn,Female,24,Right,2,5,3,1,3,2,3,1,1,1,1,1.32494420000148
14,wrn,Female,24,Right,3,4,2,2,2,1,1,1,1,1,1,0.780859500002407
14,wrn,Female,24,Right,2,6,3,1,3,2,3,1,1,1,1,1.13683949999904
14,wrn,Female,24,Right,4,3,1,2,2,1,1,1,1,1,1,0.978425799999968
14,wrn,Female,24,Right,1,2,3,1,1,2,1,2,2,2,1,1.01281960000051
14,wrn,Female,24,Right,5,6,4,3,3,2,1,1,1,1,1,0.874598499998683
14,wrn,Female,24,Right,2,3,6,1,2,3,3,2,1,1,1,1.08161240000118
14,wrn,Female,24,Right,2,3,4,1,2,2,2,2,2,1,0,1.78426580000087
14,wrn,Female,24,Right,1,4,6,1,2,3,3,2,1,1,1,0.941047700001945
14,wrn,Female,24,Right,1,4,5,1,2,3,3,1,2,2,1,0.842160699998203
14,wrn,Female,24,Right,4,3,2,2,2,1,1,1,1,1,1,1.01108430000022
14,wrn,Female,24,Right,2,4,3,1,2,2,2,1,2,1,0,1.2327899999982
14,wrn,Female,24,Right,1,4,3,1,2,2,2,1,2,1,0,1.31179100000008
14,wrn,Female,24,Right,2,1,4,1,1,2,1,2,2,2,1,1.85302120000051
14,wrn,Female,24,Right,4,3,6,2,2,3,1,1,1,1,1,0.605061900001601
14,wrn,Female,24,Right,4,2,1,2,1,1,2,1,1,1,1,1.06834929999968
14,wrn,Female,24,Right,2,1,5,1,1,3,1,1,1,1,1,0.697563000001537
14,wrn,Female,24,Right,2,6,5,1,3,3,2,1,2,1,0,1.60714169999846
14,wrn,Female,24,Right,2,6,4,1,3,2,3,1,1,1,1,1.59481029999733
