SubNo,Name,Gender,Age,Handedness,F0,F1,F2,F0V,F1V,F2V,type,order,correct_ans,answer,acc,rt
20,whc,Male,20,Right,2,1,5,1,1,3,1,2,2,2,1,1.37742759999992
20,whc,Male,20,Right,2,5,6,1,3,3,2,1,1,1,1,2.34957000000009
20,whc,Male,20,Right,1,5,6,1,3,3,2,2,2,1,0,2.24617980000016
20,whc,Male,20,Right,1,6,4,1,3,2,3,1,1,1,1,1.72817889999988
20,whc,Male,20,Right,1,6,5,1,3,3,2,2,1,1,1,1.8926891000001
20,whc,Male,20,Right,1,2,4,1,1,2,1,1,1,1,1,0.473674300000084
20,whc,Male,20,Right,1,4,5,1,2,3,3,2,1,1,1,1.86647369999992
20,whc,Male,20,Right,2,5,4,1,3,2,3,1,1,1,1,2.50953159999995
20,whc,Male,20,Right,3,4,2,2,2,1,1,1,1,1,1,0.421420399999988
20,whc,Male,20,Right,6,5,4,3,3,2,1,1,1,1,1,0.696498799999972
20,whc,Male,20,Right,2,1,6,1,1,3,1,1,1,1,1,0.760455000000093
20,whc,Male,20,Right,3,2,1,2,1,1,2,1,1,2,0,1.9755368000001
20,whc,Male,20,Right,2,4,5,1,2,3,3,1,2,2,1,2.25043430000005
20,whc,Male,20,Right,1,2,6,1,1,3,1,1,1,1,1,0.840460500000063
20,whc,Male,20,Right,1,3,6,1,2,3,3,2,1,1,1,1.56006419999994
20,whc,Male,20,Right,1,5,4,1,3,2,3,1,1,1,1,0.827475399999912
20,whc,Male,20,Right,5,6,2,3,3,1,1,1,1,1,1,0.369283300000006
20,whc,Male,20,Right,1,4,6,1,2,3,3,1,2,2,1,1.04228020000028
20,whc,Male,20,Right,3,1,2,2,1,1,2,1,2,2,1,2.18048469999985
20,whc,Male,20,Right,3,4,5,2,2,3,1,1,1,1,1,0.608627099999921
20,whc,Male,20,Right,5,6,1,3,3,1,1,1,1,1,1,0.839329800000087
20,whc,Male,20,Right,5,2,1,2,1,1,2,1,1,1,1,1.6384680000001
20,whc,Male,20,Right,1,4,3,1,2,2,2,1,2,2,1,1.5244630000002
20,whc,Male,20,Right,6,1,2,2,1,1,2,1,2,2,1,1.72010499999988
20,whc,Male,20,Right,2,6,4,1,3,2,3,1,1,2,0,1.6874528999997
20,whc,Male,20,Right,2,3,5,1,2,3,3,1,2,1,0,1.5441165000002
20,whc,Male,20,Right,2,6,5,1,3,3,2,1,2,1,0,1.0764322
20,whc,Male,20,Right,2,4,6,1,2,3,3,1,2,2,1,1.13821039999993
20,whc,Male,20,Right,1,2,5,1,1,3,1,2,2,2,1,2.1437105
20,whc,Male,20,Right,5,6,3,3,3,2,1,1,1,1,1,0.372324600000411
20,whc,Male,20,Right,2,3,6,1,2,3,3,1,2,2,1,1.43107400000008
20,whc,Male,20,Right,2,1,3,1,1,2,1,2,2,2,1,1.36549250000007
20,whc,Male,20,Right,4,3,1,2,2,1,1,1,1,1,1,0.547058599999673
20,whc,Male,20,Right,4,3,6,2,2,3,1,1,1,1,1,0.337476299999707
20,whc,Male,20,Right,2,5,3,1,3,2,3,1,1,1,1,1.50227790000008
20,whc,Male,20,Right,2,4,3,1,2,2,2,2,1,2,0,1.23932609999974
20,whc,Male,20,Right,1,3,4,1,2,2,2,1,1,2,0,1.89214830000037
20,whc,Male,20,Right,2,6,3,1,3,2,3,1,1,1,1,2.43646880000006
20,whc,Male,20,Right,1,5,3,1,3,2,3,2,2,2,1,2.10915399999976
20,whc,Male,20,Right,2,3,4,1,2,2,2,2,2,1,0,2.29543160000003
20,whc,Male,20,Right,4,2,1,2,1,1,2,1,1,2,0,1.604468
20,whc,Male,20,Right,3,4,1,2,2,1,1,1,1,1,1,0.254500700000335
20,whc,Male,20,Right,1,3,5,1,2,3,3,2,1,1,1,1.03722340000013
20,whc,Male,20,Right,5,1,2,2,1,1,2,1,2,1,0,2.84737799999994
20,whc,Male,20,Right,1,6,3,1,3,2,3,1,1,1,1,0.788894100000107
20,whc,Male,20,Right,6,2,1,2,1,1,2,1,1,1,1,1.44730119999986
20,whc,Male,20,Right,4,1,2,2,1,1,2,1,2,1,0,1.54023479999978
20,whc,Male,20,Right,5,6,4,3,3,2,1,1,1,1,1,0.255465100000038
