SubNo,Name,Gender,Age,Handedness,F0,F1,F2,F0V,F1V,F2V,type,order,correct_ans,answer,acc,rt
41,fza,Male,19,Right,2,1,6,1,1,3,1,1,1,1,1,0.729264776338823
41,fza,Male,19,Right,6,5,2,3,3,1,1,1,1,1,1,0.569413802472809
41,fza,Male,19,Right,1,2,6,1,1,3,1,1,1,1,1,0.626408490436006
41,fza,Male,19,Right,3,4,6,2,2,3,1,1,1,1,1,0.5213800951351
41,fza,Male,19,Right,5,6,1,3,3,1,1,1,1,1,1,0.279929613189779
41,fza,Male,19,Right,2,4,6,1,2,3,3,1,1,1,1,0.452943004533154
41,fza,Male,19,Right,2,4,5,1,2,3,3,1,1,1,1,1.27063851393177
41,fza,Male,19,Right,2,1,4,1,1,2,1,2,2,2,1,2.16745829043612
41,fza,Male,19,Right,3,2,1,2,1,1,2,1,1,1,1,6.60435739043623
41,fza,Male,19,Right,4,3,2,2,2,1,1,1,1,1,1,0.767811999834521
41,fza,Male,19,Right,6,2,1,2,1,1,2,1,1,1,1,5.1729502440221
41,fza,Male,19,Right,2,4,3,1,2,2,2,1,2,1,0,2.74158041393184
41,fza,Male,19,Right,3,1,2,2,1,1,2,1,2,1,0,1.51566976694085
41,fza,Male,19,Right,2,1,3,1,1,2,1,1,1,1,1,0.307094520526334
41,fza,Male,19,Right,1,2,3,1,1,2,1,2,2,2,1,1.55053354534084
41,fza,Male,19,Right,5,2,1,2,1,1,2,1,1,1,1,1.01642909513521
41,fza,Male,19,Right,6,5,4,3,3,2,1,1,1,1,1,1.14794339983382
41,fza,Male,19,Right,2,3,6,1,2,3,3,2,2,2,1,2.14610243330571
41,fza,Male,19,Right,1,6,3,1,3,2,3,1,2,1,0,5.08431199999995
41,fza,Male,19,Right,4,2,1,2,1,1,2,1,1,1,1,3.86455568161455
41,fza,Male,19,Right,2,5,6,1,3,3,2,1,1,1,1,1.3497979951353
41,fza,Male,19,Right,2,5,4,1,3,2,3,1,2,1,0,1.78355951393132
41,fza,Male,19,Right,3,4,2,2,2,1,1,1,1,2,0,1.4161947951352
41,fza,Male,19,Right,5,6,3,3,3,2,1,1,1,1,1,0.211215713930869
41,fza,Male,19,Right,1,4,3,1,2,2,2,1,2,2,1,3.27474378573697
41,fza,Male,19,Right,1,6,5,1,3,3,2,1,2,2,1,0.611229813931459
41,fza,Male,19,Right,2,6,3,1,3,2,3,1,2,2,1,2.24655932596761
41,fza,Male,19,Right,2,1,5,1,1,3,1,2,2,1,0,1.57237363272816
41,fza,Male,19,Right,4,3,6,2,2,3,1,1,1,1,1,1.15351332333012
41,fza,Male,19,Right,3,4,1,2,2,1,1,1,1,1,1,1.03920420000031
41,fza,Male,19,Right,2,6,5,1,3,3,2,1,2,1,0,2.58115420453396
41,fza,Male,19,Right,6,5,3,3,3,2,1,1,1,1,1,1.82546280923179
41,fza,Male,19,Right,6,1,2,2,1,1,2,1,2,2,1,2.82005308499538
41,fza,Male,19,Right,1,5,4,1,3,2,3,1,2,2,1,2.8353961999992
41,fza,Male,19,Right,1,5,6,1,3,3,2,2,2,2,1,1.99353139983396
41,fza,Male,19,Right,1,4,5,1,2,3,3,1,1,1,1,2.08537408103803
41,fza,Male,19,Right,1,6,4,1,3,2,3,2,1,1,1,1.58624800000052
41,fza,Male,19,Right,1,5,3,1,3,2,3,2,1,1,1,2.28666919999978
41,fza,Male,19,Right,2,5,3,1,3,2,3,1,2,2,1,0.994618790436107
41,fza,Male,19,Right,2,6,4,1,3,2,3,1,2,2,1,2.0468702769158
41,fza,Male,19,Right,1,3,5,1,2,3,3,1,1,1,1,1.29644799983453
41,fza,Male,19,Right,5,1,2,2,1,1,2,1,2,1,0,3.90087060642873
41,fza,Male,19,Right,4,1,2,2,1,1,2,1,2,2,1,2.60052299043582
41,fza,Male,19,Right,2,3,5,1,2,3,3,2,2,2,1,2.30020112333023
41,fza,Male,19,Right,2,3,4,1,2,2,2,1,1,2,0,1.81194058161509
41,fza,Male,19,Right,1,4,6,1,2,3,3,2,2,2,1,2.45967089645546
41,fza,Male,19,Right,1,3,6,1,2,3,3,2,2,2,1,2.41263607633846
41,fza,Male,19,Right,1,3,4,1,2,2,2,2,2,2,1,1.46422125284334
