SubNo,Name,Gender,Age,Handedness,village,face1,face2,false_time,rt,mean_false,mean_rt,block
13,jf,Male,22,Right,3,5,6,1,21.7918236,21.7918236,1,1
13,jf,Male,22,Right,2,3,4,3,55.1462178000002,38.4690207000001,2,1
13,jf,Male,22,Right,1,1,2,0,7.88077579999981,28.2729390666667,1.33333333333333,1
13,jf,Male,22,Right,3,5,6,4,18.2414484000001,18.2414484000001,4,2
13,jf,Male,22,Right,1,1,2,1,14.4136048999999,16.32752665,2.5,2
13,jf,Male,22,Right,2,3,4,4,17.3056564999997,16.6535699333332,3,2
13,jf,Male,22,Right,3,5,6,3,20.1201704,20.1201704,3,3
13,jf,Male,22,Right,2,3,4,2,16.2867461999999,18.2034583,2.5,3
13,jf,Male,22,Right,1,1,2,0,5.55850779999992,13.9884747999999,1.66666666666667,3
13,jf,Male,22,Right,1,1,2,0,21.2374048000001,21.2374048000001,0,4
13,jf,Male,22,Right,3,5,6,0,8.12897040000007,14.6831876000001,0,4
13,jf,Male,22,Right,2,3,4,0,6.757251,12.0412087333334,0,4
13,jf,Male,22,Right,2,3,4,2,20.3360970999997,20.3360970999997,2,5
13,jf,Male,22,Right,1,1,2,0,6.79628709999997,13.5661920999999,1,5
13,jf,Male,22,Right,3,5,6,1,9.94465280000031,12.3590123333333,1,5
13,jf,Male,22,Right,2,3,4,0,11.8178249000002,11.8178249000002,0,6
13,jf,Male,22,Right,3,5,6,0,4.61439790000031,8.21611140000027,0,6
13,jf,Male,22,Right,1,1,2,0,2.70427530000006,6.3788327000002,0,6
13,jf,Male,22,Right,1,1,2,0,3.59062610000001,3.59062610000001,0,7
13,jf,Male,22,Right,3,5,6,0,7.07763109999996,5.33412859999999,0,7
13,jf,Male,22,Right,2,3,4,0,3.5057683,4.72467516666666,0,7
