SubNo,Name,Gender,Age,Handedness,village,face1,face2,false_time,rt,mean_false,mean_rt,block
31,ljy,Female,23,Right,2,3,4,4,10.6653089,10.6653089,4,1
31,ljy,Female,23,Right,1,1,2,2,9.44140019999998,10.05335455,3,1
31,ljy,Female,23,Right,3,5,6,4,15.4634596000001,11.8567229,3.33333333333333,1
31,ljy,Female,23,Right,3,5,6,2,4.37106200000005,4.37106200000005,2,2
31,ljy,Female,23,Right,1,1,2,4,9.04135740000004,6.70620970000004,3,2
31,ljy,Female,23,Right,2,3,4,0,4.82098140000005,6.07780026666671,2,2
31,ljy,Female,23,Right,2,3,4,2,18.9494386,18.9494386,2,3
31,ljy,Female,23,Right,3,5,6,2,20.017058,19.4832483,2,3
31,ljy,Female,23,Right,1,1,2,0,4.30412139999999,14.4235393333333,1.33333333333333,3
31,ljy,Female,23,Right,1,1,2,0,4.320786,4.320786,0,4
31,ljy,Female,23,Right,3,5,6,0,5.37169949999998,4.84624274999999,0,4
31,ljy,Female,23,Right,2,3,4,0,2.87023499999998,4.18757349999999,0,4
