SubNo,Name,Gender,Age,Handedness,village,face1,face2,false_time,rt,mean_false,mean_rt,block
43,wkf,Male,20,Right,2,3,4,3,6.01759660000016,6.01759660000016,3,1
43,wkf,Male,20,Right,1,1,2,4,6.65580079999995,6.33669870000006,3.5,1
43,wkf,Male,20,Right,3,5,6,2,9.5928566,7.42208466666671,3,1
43,wkf,Male,20,Right,2,3,4,2,8.03822950000017,8.03822950000017,2,2
43,wkf,Male,20,Right,3,5,6,2,7.5965807,7.81740510000009,2,2
43,wkf,Male,20,Right,1,1,2,0,5.27544230000012,6.97008416666677,1.33333333333333,2
43,wkf,Male,20,Right,2,3,4,0,1.72512440000014,1.72512440000014,0,3
43,wkf,Male,20,Right,3,5,6,0,2.60424840000019,2.16468640000016,0,3
43,wkf,Male,20,Right,1,1,2,1,9.01351989999989,4.44763090000007,0.333333333333333,3
43,wkf,Male,20,Right,2,3,4,1,3.40047909999998,3.40047909999998,1,4
43,wkf,Male,20,Right,1,1,2,3,8.23009270000011,5.81528590000005,2,4
43,wkf,Male,20,Right,3,5,6,1,4.43818079999983,5.35625086666664,1.66666666666667,4
43,wkf,Male,20,Right,3,5,6,0,2.04257180000013,2.04257180000013,0,5
43,wkf,Male,20,Right,1,1,2,0,2.65495250000004,2.34876215000008,0,5
43,wkf,Male,20,Right,2,3,4,0,1.90825040000004,2.20192490000007,0,5
