SubNo,Name,Gender,Age,Handedness,village,face1,face2,false_time,rt,mean_false,mean_rt,block
29,lzb,Female,22,Right,2,3,4,1,5.12776920000033,5.12776920000033,1,1
29,lzb,Female,22,Right,1,1,2,3,8.89112250000017,7.00944585000025,2,1
29,lzb,Female,22,Right,3,5,6,3,10.0756744,8.03152203333351,2.33333333333333,1
29,lzb,Female,22,Right,2,3,4,3,9.10845939999945,9.10845939999945,3,2
29,lzb,Female,22,Right,3,5,6,3,10.5266229999997,9.8175411999996,3,2
29,lzb,Female,22,Right,1,1,2,4,8.69111729999986,9.44206656666635,3.33333333333333,2
29,lzb,Female,22,Right,2,3,4,4,9.12465870000051,9.12465870000051,4,3
29,lzb,Female,22,Right,3,5,6,2,9.30827839999984,9.21646855000017,3,3
29,lzb,Female,22,Right,1,1,2,4,9.64173339999979,9.35822350000005,3.33333333333333,3
29,lzb,Female,22,Right,2,3,4,0,5.82222060000004,5.82222060000004,0,4
29,lzb,Female,22,Right,1,1,2,0,7.02294919999986,6.42258489999995,0,4
29,lzb,Female,22,Right,3,5,6,4,10.7929174999999,7.87936243333327,1.33333333333333,4
29,lzb,Female,22,Right,3,5,6,2,8.20744550000018,8.20744550000018,2,5
29,lzb,Female,22,Right,1,1,2,4,17.0978810000006,12.6526632500004,3,5
29,lzb,Female,22,Right,2,3,4,0,7.92402109999966,11.0764492000001,2,5
29,lzb,Female,22,Right,3,5,6,3,12.2606864999998,12.2606864999998,3,6
29,lzb,Female,22,Right,1,1,2,2,10.5091924000008,11.3849394500003,2.5,6
29,lzb,Female,22,Right,2,3,4,1,8.0406481,10.2701756666669,2,6
29,lzb,Female,22,Right,2,3,4,0,2.5702596000001,2.5702596000001,0,7
29,lzb,Female,22,Right,3,5,6,0,6.78953809999985,4.67989884999997,0,7
29,lzb,Female,22,Right,1,1,2,0,6.18902640000033,5.18294136666676,0,7
29,lzb,Female,22,Right,1,1,2,0,2.53619639999943,2.53619639999943,0,8
29,lzb,Female,22,Right,3,5,6,1,10.7928904999999,6.66454344999966,0.5,8
29,lzb,Female,22,Right,2,3,4,0,4.12086779999936,5.81665156666622,0.333333333333333,8
29,lzb,Female,22,Right,3,5,6,0,8.59099309999965,8.59099309999965,0,9
29,lzb,Female,22,Right,1,1,2,0,4.80481240000063,6.69790275000014,0,9
29,lzb,Female,22,Right,2,3,4,0,2.81964859999971,5.40515136666666,0,9
29,lzb,Female,22,Right,1,1,2,0,3.53752209999948,3.53752209999948,0,10
29,lzb,Female,22,Right,3,5,6,0,4.33754229999977,3.93753219999962,0,10
29,lzb,Female,22,Right,2,3,4,0,2.70293719999972,3.52600053333299,0,10
