SubNo,Name,Gender,Age,Handedness,village,face1,face2,false_time,rt,mean_false,mean_rt,block
8,xcd,Male,19,Right,2,3,4,1,9.4977472999999,9.4977472999999,1,1
8,xcd,Male,19,Right,1,1,2,2,15.0793917000001,12.2885695,1.5,1
8,xcd,Male,19,Right,3,5,6,2,15.3634579,13.3135323,1.66666666666667,1
8,xcd,Male,19,Right,2,3,4,1,6.18924130000005,6.18924130000005,1,2
8,xcd,Male,19,Right,3,5,6,1,10.8929929000001,8.54111710000007,1,2
8,xcd,Male,19,Right,1,1,2,3,5.57211480000001,7.55144966666671,1.66666666666667,2
8,xcd,Male,19,Right,2,3,4,3,8.69092729999988,8.69092729999988,3,3
8,xcd,Male,19,Right,3,5,6,1,3.08643579999989,5.88868154999989,2,3
8,xcd,Male,19,Right,1,1,2,4,7.8236773000001,6.53368013333329,2.66666666666667,3
8,xcd,Male,19,Right,2,3,4,2,7.92400740000016,7.92400740000016,2,4
8,xcd,Male,19,Right,1,1,2,2,6.42275960000006,7.17338350000011,2,4
8,xcd,Male,19,Right,3,5,6,4,4.80453669999997,6.38376790000007,2.66666666666667,4
8,xcd,Male,19,Right,3,5,6,1,5.33858409999993,5.33858409999993,1,5
8,xcd,Male,19,Right,1,1,2,0,2.63636030000021,3.98747220000007,0.5,5
8,xcd,Male,19,Right,2,3,4,4,4.30429140000001,4.09307860000005,1.66666666666667,5
8,xcd,Male,19,Right,3,5,6,3,6.8233851,6.8233851,3,6
8,xcd,Male,19,Right,1,1,2,1,5.20518300000003,6.01428405000001,2,6
8,xcd,Male,19,Right,2,3,4,1,5.10481270000014,5.71112693333339,1.66666666666667,6
8,xcd,Male,19,Right,2,3,4,0,3.48687210000003,3.48687210000003,0,7
8,xcd,Male,19,Right,3,5,6,0,3.17000589999998,3.328439,0,7
8,xcd,Male,19,Right,1,1,2,3,4.28848410000001,3.64845403333334,1,7
8,xcd,Male,19,Right,1,1,2,4,5.7720753000001,5.7720753000001,4,8
8,xcd,Male,19,Right,3,5,6,3,21.1846676,13.4783714500001,3.5,8
8,xcd,Male,19,Right,2,3,4,1,8.24087270000018,11.7325385333334,2.66666666666667,8
8,xcd,Male,19,Right,3,5,6,2,22.5191003,22.5191003,2,9
8,xcd,Male,19,Right,1,1,2,0,4.57107220000012,13.5450862500001,1,9
8,xcd,Male,19,Right,2,3,4,0,5.22160519999989,10.7705925666667,0.666666666666667,9
8,xcd,Male,19,Right,1,1,2,0,5.23826200000008,5.23826200000008,0,10
8,xcd,Male,19,Right,3,5,6,0,4.88790169999993,5.06308185,0,10
8,xcd,Male,19,Right,2,3,4,0,3.93730900000014,4.68782423333338,0,10
