SubNo,Name,Gender,Age,Handedness,village,face1,face2,false_time,rt,mean_false,mean_rt,block
18,wbx,Male,18,Right,3,5,6,0,8.33734840000011,8.33734840000011,0,1
18,wbx,Male,18,Right,1,1,2,0,2.50397869999961,5.42066354999986,0,1
18,wbx,Male,18,Right,2,3,4,2,8.23935309999979,6.36022673333317,0.666666666666667,1
18,wbx,Male,18,Right,2,3,4,0,6.23233380000011,6.23233380000011,0,2
18,wbx,Male,18,Right,3,5,6,2,6.53701240000009,6.3846731000001,1,2
18,wbx,Male,18,Right,1,1,2,0,9.48524990000033,7.41819870000018,0.666666666666667,2
18,wbx,Male,18,Right,1,1,2,1,4.03447020000021,4.03447020000021,1,3
18,wbx,Male,18,Right,3,5,6,0,4.43804720000026,4.23625870000024,0.5,3
18,wbx,Male,18,Right,2,3,4,0,3.05268870000009,3.84173536666685,0.333333333333333,3
18,wbx,Male,18,Right,3,5,6,0,5.05614690000039,5.05614690000039,0,4
18,wbx,Male,18,Right,1,1,2,1,10.2223204999996,7.63923369999998,0.5,4
18,wbx,Male,18,Right,2,3,4,0,3.96755819999998,6.41534186666665,0.333333333333333,4
18,wbx,Male,18,Right,1,1,2,2,6.35616590000018,6.35616590000018,2,5
18,wbx,Male,18,Right,3,5,6,0,7.16724490000024,6.76170540000021,1,5
18,wbx,Male,18,Right,2,3,4,0,3.87536880000016,5.79959320000019,0.666666666666667,5
18,wbx,Male,18,Right,1,1,2,0,3.20056250000016,3.20056250000016,0,6
18,wbx,Male,18,Right,3,5,6,0,2.51444420000007,2.85750335000012,0,6
18,wbx,Male,18,Right,2,3,4,0,2.48845829999982,2.73448833333335,0,6
