SubNo,Name,Gender,Age,Handedness,village,face1,face2,false_time,rt,mean_false,mean_rt,block
47,lxc,Male,21,Right,3,5,6,4,9.5978513,9.5978513,4,1
47,lxc,Male,21,Right,2,3,4,2,13.0276841999998,11.3127677499999,3,1
47,lxc,Male,21,Right,1,1,2,0,3.82059279999999,8.81537609999994,2,1
47,lxc,Male,21,Right,2,3,4,0,8.97473100000002,8.97473100000002,0,2
47,lxc,Male,21,Right,3,5,6,1,8.79141600000003,8.88307350000002,0.5,2
47,lxc,Male,21,Right,1,1,2,0,2.31923580000012,6.69512760000005,0.333333333333333,2
47,lxc,Male,21,Right,2,3,4,0,4.35444940000002,4.35444940000002,0,3
47,lxc,Male,21,Right,3,5,6,0,2.70305129999997,3.52875035,0,3
47,lxc,Male,21,Right,1,1,2,1,8.40756199999987,5.15502089999995,0.333333333333333,3
47,lxc,Male,21,Right,1,1,2,0,3.33682829999998,3.33682829999998,0,4
47,lxc,Male,21,Right,2,3,4,2,5.37192410000011,4.35437620000005,1,4
47,lxc,Male,21,Right,3,5,6,0,3.48716489999993,4.06530576666667,0.666666666666667,4
47,lxc,Male,21,Right,3,5,6,0,7.37366189999989,7.37366189999989,0,5
47,lxc,Male,21,Right,1,1,2,0,2.31946829999993,4.84656509999991,0,5
47,lxc,Male,21,Right,2,3,4,0,2.1192989000001,3.93747636666664,0,5
