SubNo,Name,Gender,Age,Handedness,village,face1,face2,false_time,rt,mean_false,mean_rt,block
6,yhc,Female,18,Right,2,3,4,4,34.4717184000001,34.4717184000001,4,1
6,yhc,Female,18,Right,1,1,2,0,1.49712599999975,17.9844221999999,2,1
6,yhc,Female,18,Right,3,5,6,2,8.3563094000001,14.7750512666667,2,1
6,yhc,Female,18,Right,3,5,6,0,3.32367290000002,3.32367290000002,0,2
6,yhc,Female,18,Right,1,1,2,2,9.00192640000023,6.16279965000012,1,2
6,yhc,Female,18,Right,2,3,4,4,12.0918938999998,8.13916440000003,2,2
6,yhc,Female,18,Right,3,5,6,3,16.7413744,16.7413744,3,3
6,yhc,Female,18,Right,2,3,4,0,4.14899639999976,10.4451853999999,1.5,3
6,yhc,Female,18,Right,1,1,2,0,2.80290140000034,7.89775740000005,1,3
6,yhc,Female,18,Right,3,5,6,0,4.30761640000037,4.30761640000037,0,4
6,yhc,Female,18,Right,1,1,2,0,2.64390940000021,3.47576290000029,0,4
6,yhc,Female,18,Right,2,3,4,0,2.85214319999977,3.26788966666678,0,4
