SubNo,Name,Gender,Age,Handedness,village,face1,face2,false_time,rt,mean_false,mean_rt,block
35,wzh,Male,23,Right,3,5,6,2,13.9029590999999,13.9029590999999,2,1
35,wzh,Male,23,Right,2,3,4,0,14.6628109999992,14.2828850499996,1,1
35,wzh,Male,23,Right,1,1,2,0,2.46957569999995,10.3451152666663,0.666666666666667,1
35,wzh,Male,23,Right,1,1,2,0,3.05334659999971,3.05334659999971,0,2
35,wzh,Male,23,Right,2,3,4,0,5.8388144999999,4.44608054999981,0,2
35,wzh,Male,23,Right,3,5,6,0,4.87136120000014,4.58784076666658,0,2
