SubNo,Name,Gender,Age,Handedness,village,face1,face2,false_time,rt,mean_false,mean_rt,block
1,lyj,Male,19,Right,1,1,2,2,11.5269421,11.5269421,2,1
1,lyj,Male,19,Right,2,3,4,0,9.82533939999985,10.6761407499999,1,1
1,lyj,Male,19,Right,3,5,6,0,5.20524569999998,8.85250906666662,0.666666666666667,1
1,lyj,Male,19,Right,1,1,2,0,3.43703690000007,3.43703690000007,0,2
1,lyj,Male,19,Right,3,5,6,3,10.3423792999999,6.88970810000001,1.5,2
1,lyj,Male,19,Right,2,3,4,0,5.93892239999991,6.57277953333331,1,2
1,lyj,Male,19,Right,3,5,6,0,2.8865886000001,2.8865886000001,0,3
1,lyj,Male,19,Right,1,1,2,0,2.18581010000003,2.53619935000006,0,3
1,lyj,Male,19,Right,2,3,4,0,2.28579020000006,2.4527296333334,0,3
