SubNo,Name,Gender,Age,Handedness,village,face1,face2,false_time,rt,mean_false,mean_rt,block
20,whc,Male,20,Right,2,3,4,0,6.45382649999988,6.45382649999988,0,1
20,whc,Male,20,Right,1,1,2,3,7.08956890000013,6.7716977,1.5,1
20,whc,Male,20,Right,3,5,6,2,23.6574756999999,12.4002903666666,1.66666666666667,1
20,whc,Male,20,Right,2,3,4,4,19.7296953,19.7296953,4,2
20,whc,Male,20,Right,3,5,6,2,10.9582184000001,15.34395685,3,2
20,whc,Male,20,Right,1,1,2,0,6.59505449999983,12.4276560666666,2,2
20,whc,Male,20,Right,2,3,4,1,7.21239290000017,7.21239290000017,1,3
20,whc,Male,20,Right,3,5,6,0,21.3680810000001,14.2902369500001,0.5,3
20,whc,Male,20,Right,1,1,2,0,3.6382966000001,10.7395901666668,0.333333333333333,3
20,whc,Male,20,Right,2,3,4,1,4.2344356000001,4.2344356000001,1,4
20,whc,Male,20,Right,1,1,2,1,8.68906309999988,6.46174934999999,1,4
20,whc,Male,20,Right,3,5,6,1,5.20290210000007,6.04213360000002,1,4
20,whc,Male,20,Right,3,5,6,2,6.04008799999997,6.04008799999997,2,5
20,whc,Male,20,Right,1,1,2,0,1.61110980000012,3.82559890000005,1,5
20,whc,Male,20,Right,2,3,4,0,2.0466570000001,3.23261826666673,0.666666666666667,5
20,whc,Male,20,Right,3,5,6,0,4.44970810000018,4.44970810000018,0,6
20,whc,Male,20,Right,1,1,2,0,3.12313539999991,3.78642175000005,0,6
20,whc,Male,20,Right,2,3,4,2,3.53122540000004,3.70135630000004,0.666666666666667,6
20,whc,Male,20,Right,2,3,4,1,3.40632200000005,3.40632200000005,1,7
20,whc,Male,20,Right,3,5,6,0,12.3994929,7.90290745000004,0.5,7
20,whc,Male,20,Right,1,1,2,0,2.41055890000007,6.07212460000005,0.333333333333333,7
20,whc,Male,20,Right,1,1,2,0,3.05767630000014,3.05767630000014,0,8
20,whc,Male,20,Right,3,5,6,0,6.08758139999986,4.57262885,0,8
20,whc,Male,20,Right,2,3,4,0,2.76723510000011,3.97083093333337,0,8
