SubNo,Name,Gender,Age,Handedness,village,face1,face2,false_time,rt,mean_false,mean_rt,block
12,zzc,Male,23,Right,2,3,4,4,40.2584956999999,40.2584956999999,4,1
12,zzc,Male,23,Right,3,5,6,2,8.59351040000001,24.42600305,3,1
12,zzc,Male,23,Right,1,1,2,2,9.93376570000009,19.5952572666667,2.66666666666667,1
12,zzc,Male,23,Right,2,3,4,0,9.32158660000005,9.32158660000005,0,2
12,zzc,Male,23,Right,1,1,2,0,8.25475129999995,8.78816895,0,2
12,zzc,Male,23,Right,3,5,6,0,6.85342500000002,8.1432543,0,2
12,zzc,Male,23,Right,1,1,2,2,8.80859859999987,8.80859859999987,2,3
12,zzc,Male,23,Right,2,3,4,2,10.7718886999999,9.79024364999987,2,3
12,zzc,Male,23,Right,3,5,6,0,8.9583647999998,9.51295069999984,1.33333333333333,3
12,zzc,Male,23,Right,1,1,2,0,8.3022117999999,8.3022117999999,0,4
12,zzc,Male,23,Right,2,3,4,3,8.15070130000004,8.22645654999997,1.5,4
12,zzc,Male,23,Right,3,5,6,0,5.40878150000003,7.28723153333332,1,4
12,zzc,Male,23,Right,2,3,4,0,1.94673579999994,1.94673579999994,0,5
12,zzc,Male,23,Right,1,1,2,0,2.89647709999986,2.4216064499999,0,5
12,zzc,Male,23,Right,3,5,6,0,4.71985449999988,3.18768913333323,0,5
