condition,n_trials,mean,sd,se
AB,240,-12.632637544349597,79.19438706362422,5.111975703508678
AC,240,-18.196034022213944,108.92899038355691,7.031336094578396
BC,240,-7.5987438438639,129.19721731163978,8.339644517072024
same,180,-39.52385689652323,56.586519712320886,4.217710156229378
