SubNo,condition,d_error
1,AB,24.8960692000553
1,AC,-17.12232993290909
1,BC,53.159088414667536
1,same,-66.74307593701815
7,AB,5.735952881384196
7,AC,-24.596482198954654
7,BC,1.6079892901100497
7,same,-51.59576348547791
9,AB,12.185025853026145
9,AC,-7.357776303207453
9,BC,3.1752847326483327
9,same,-2.3663271812100155
11,AB,-5.564958653533314
11,AC,6.561950875582717
11,BC,25.637527538518334
11,same,-39.1531573859151
13,AB,-6.213448059268997
13,AC,7.250772184462294
13,BC,-13.08961947570946
13,same,-44.80903654902689
15,AB,-99.87380248196416
15,AC,-102.42965755836379
15,BC,-121.50879277678565
15,same,-79.73249789520332
17,AB,-69.15175243038159
17,AC,-103.39898160783355
17,BC,-12.231349362959628
17,same,-40.67009031039976
21,AB,-13.585784642921585
21,AC,7.316971291204174
21,BC,-2.8797081743360913
21,same,-19.858065929635433
23,AB,-39.23132755242559
23,AC,-43.089689115306385
23,BC,-29.936256924018853
23,same,-60.27822978446568
29,AB,-6.645040625658876
29,AC,-18.155336002559928
29,BC,-7.861841861634719
29,same,-56.67899476484655
31,AB,19.965706123994288
31,AC,22.29730218284144
31,BC,31.554500049541268
31,same,-21.482153188594353
35,AB,-3.1114039834173894
35,AC,-0.4224160527921601
35,BC,-14.941523773711392
35,same,5.700678893938208
37,AB,0.16106349773168827
37,AC,5.9517224005827565
37,BC,-18.022965314440235
37,same,-19.488612997507854
39,AB,-15.846144587626245
39,AC,-10.943837229859433
39,BC,-23.656554125940843
39,same,-37.94547601852938
41,AB,6.790282295762165
41,AC,5.197276733903899
41,BC,15.013064106092852
41,same,-57.75705091395627
