type,n_subjects,mean_accuracy,sd_accuracy,min_accuracy,max_accuracy,mean_correct_trials,mean_total_trials,se_accuracy,type_label_en,type_label_zh,global_min_subject_accuracy
1,26,0.9807692307692307,0.03432032364918221,0.875,1.0,15.692307692307692,16.0,0.006730769230769232,Same-village distance judgment,同村庄距离判别,0.875
3,26,0.96875,0.04050462936504916,0.875,1.0,15.5,16.0,0.007943611366278039,Cross-village distance judgment,异村庄距离判别,0.875
