type,n_trials,trial_accuracy_mean,n_subjects,subject_accuracy_mean,subject_accuracy_sd,included_in_primary_analysis
1,416,0.9807692307692307,26,0.9807692307692307,0.03432032364918221,True
2,416,0.43509615384615385,26,0.43509615384615385,0.12308631274278788,False
3,416,0.96875,26,0.96875,0.04050462936504916,True
