SubNo,type,correct_trials,total_trials,accuracy,mean_rt,type_label_en,type_label_zh,parity_rule_en,parity_rule_zh
31,3,15,16,0.9375,0.8964616031236119,Cross-village distance judgment,异村庄距离判别,"Odd SubNo: AB = near, AC = far",奇数被试：AB = 近，AC = 远
35,1,16,16,1.0,2.329851190781426,Same-village distance judgment,同村庄距离判别,"Odd SubNo: AB = near, AC = far",奇数被试：AB = 近，AC = 远
35,3,16,16,1.0,2.0367530188227647,Cross-village distance judgment,异村庄距离判别,"Odd SubNo: AB = near, AC = far",奇数被试：AB = 近，AC = 远
37,1,16,16,1.0,0.9038044258439015,Same-village distance judgment,同村庄距离判别,"Odd SubNo: AB = near, AC = far",奇数被试：AB = 近，AC = 远
37,3,15,16,0.9375,2.8230249734991446,Cross-village distance judgment,异村庄距离判别,"Odd SubNo: AB = near, AC = far",奇数被试：AB = 近，AC = 远
39,1,16,16,1.0,1.043687403463366,Same-village distance judgment,同村庄距离判别,"Odd SubNo: AB = near, AC = far",奇数被试：AB = 近，AC = 远
39,3,16,16,1.0,1.7133260317579868,Cross-village distance judgment,异村庄距离判别,"Odd SubNo: AB = near, AC = far",奇数被试：AB = 近，AC = 远
41,1,14,16,0.875,0.9928251879937875,Same-village distance judgment,同村庄距离判别,"Odd SubNo: AB = near, AC = far",奇数被试：AB = 近，AC = 远
41,3,14,16,0.875,2.0805154647511017,Cross-village distance judgment,异村庄距离判别,"Odd SubNo: AB = near, AC = far",奇数被试：AB = 近，AC = 远
43,1,16,16,1.0,0.794296629764915,Same-village distance judgment,同村庄距离判别,"Odd SubNo: AB = near, AC = far",奇数被试：AB = 近，AC = 远
43,3,16,16,1.0,1.5308396769489292,Cross-village distance judgment,异村庄距离判别,"Odd SubNo: AB = near, AC = far",奇数被试：AB = 近，AC = 远
45,1,16,16,1.0,1.1684863561646637,Same-village distance judgment,同村庄距离判别,"Odd SubNo: AB = near, AC = far",奇数被试：AB = 近，AC = 远
45,3,15,16,0.9375,1.4620971894503896,Cross-village distance judgment,异村庄距离判别,"Odd SubNo: AB = near, AC = far",奇数被试：AB = 近，AC = 远
47,1,16,16,1.0,0.6560277435285968,Same-village distance judgment,同村庄距离判别,"Odd SubNo: AB = near, AC = far",奇数被试：AB = 近，AC = 远
47,3,16,16,1.0,0.8994103923031673,Cross-village distance judgment,异村庄距离判别,"Odd SubNo: AB = near, AC = far",奇数被试：AB = 近，AC = 远
49,1,16,16,1.0,1.115103545600732,Same-village distance judgment,同村庄距离判别,"Odd SubNo: AB = near, AC = far",奇数被试：AB = 近，AC = 远
49,3,15,16,0.9375,1.5988038391153054,Cross-village distance judgment,异村庄距离判别,"Odd SubNo: AB = near, AC = far",奇数被试：AB = 近，AC = 远
