SubNo,source,schema,face,village,ability_pct,warmth_pct,actual_ability,actual_warmth,projected_ability,projected_warmth,true_ability,true_warmth,delta_ability,delta_warmth,euclidean_error
9,MRtask-9-2025-11-25.mat,legacy_xy,2,1,29.795918367346943,58.77551020408164,146.0,235.10204081632656,2.979591836734694,5.877551020408164,2.789,7.765,0.19059183673469393,-1.887448979591836,1.8970474160632274
9,MRtask-9-2025-11-25.mat,legacy_xy,3,2,81.63265306122449,72.6530612244898,400.0,290.6122448979592,8.16326530612245,7.26530612244898,6.426,8.527,1.737265306122449,-1.2616938775510196,2.147082249124717
9,MRtask-9-2025-11-25.mat,legacy_xy,4,2,93.46938775510203,55.714285714285715,457.99999999999994,222.85714285714286,9.346938775510203,5.571428571428571,8.817,6.716,0.5299387755102032,-1.144571428571429,1.2613004641604217
9,MRtask-9-2025-11-25.mat,legacy_xy,5,3,49.795918367346935,25.510204081632654,244.0,102.04081632653062,4.979591836734693,2.5510204081632653,4.894,2.02,0.08559183673469306,0.5310204081632652,0.5378741826872704
9,MRtask-9-2025-11-25.mat,legacy_xy,6,3,84.28571428571429,30.408163265306122,413.00000000000006,121.63265306122449,8.42857142857143,3.040816326530612,7.659,3.185,0.7695714285714308,-0.1441836734693882,0.7829617585607869
10,MRtask-10-2026-03-29.mat,warmth_ability,1,1,24.47058823529412,48.80952380952381,208.0,410.0,2.447058823529412,4.8809523809523805,2.416,4.788,0.031058823529412027,0.09295238095238023,0.09800405932280344
10,MRtask-10-2026-03-29.mat,warmth_ability,2,1,31.76470588235294,73.21428571428571,270.0,615.0,3.176470588235294,7.321428571428571,2.789,7.765,0.3874705882352938,-0.4435714285714285,0.588972893257663
10,MRtask-10-2026-03-29.mat,warmth_ability,3,2,59.411764705882355,83.21428571428572,505.0,699.0,5.9411764705882355,8.321428571428571,6.426,8.527,-0.48482352941176465,-0.20557142857142807,0.52660560851189
10,MRtask-10-2026-03-29.mat,warmth_ability,4,2,86.0,67.73809523809524,731.0,569.0,8.6,6.773809523809524,8.817,6.716,-0.21700000000000053,0.05780952380952353,0.22456834381337923
10,MRtask-10-2026-03-29.mat,warmth_ability,5,3,49.29411764705882,25.71428571428571,419.0,215.99999999999997,4.929411764705883,2.571428571428571,4.894,2.02,0.035411764705882476,0.5514285714285712,0.5525644419136465
10,MRtask-10-2026-03-29.mat,warmth_ability,6,3,71.88235294117648,33.214285714285715,611.0,279.0,7.188235294117647,3.321428571428571,7.659,3.185,-0.47076470588235253,0.13642857142857112,0.4901348420654653
11,MRtask-11-2025-11-25.mat,legacy_xy,1,1,18.181818181818183,22.466039707419018,174.0,179.72831765935214,1.8181818181818183,2.2466039707419014,2.416,4.788,-0.5978181818181816,-2.541396029258099,2.610762408960499
11,MRtask-11-2025-11-25.mat,legacy_xy,2,1,19.853709508881924,32.39289446185998,190.0,259.14315569487985,1.9853709508881923,3.2392894461859982,2.789,7.765,-0.8036290491118079,-4.525710553814001,4.596506898230414
11,MRtask-11-2025-11-25.mat,legacy_xy,3,2,42.63322884012539,42.94670846394985,408.0,343.5736677115988,4.263322884012539,4.294670846394984,6.426,8.527,-2.162677115987461,-4.232329153605015,4.752870961058251
11,MRtask-11-2025-11-25.mat,legacy_xy,4,2,50.9926854754441,29.57157784743992,488.00000000000006,236.57262277951935,5.09926854754441,2.9571577847439916,8.817,6.716,-3.71773145245559,-3.7588422152560086,5.286815861344922
11,MRtask-11-2025-11-25.mat,legacy_xy,5,3,31.870428422152557,16.405433646812956,305.0,131.24346917450364,3.1870428422152557,1.6405433646812955,4.894,2.02,-1.7069571577847444,-0.37945663531870455,1.7486251961469517
11,MRtask-11-2025-11-25.mat,legacy_xy,6,3,43.155694879832815,19.435736677115987,413.00000000000006,155.4858934169279,4.315569487983282,1.9435736677115987,7.659,3.185,-3.3434305120167176,-1.2414263322884014,3.566464205229516
