face,n_subjects,mean_projected_ability,sd_projected_ability,mean_projected_warmth,sd_projected_warmth,mean_delta_ability,sd_delta_ability,mean_delta_warmth,sd_delta_warmth,mean_euclidean_error,sd_euclidean_error,se_projected_ability,se_projected_warmth,se_delta_ability,se_delta_warmth,se_euclidean_error,true_ability,true_warmth
1,26,2.6114703888849986,0.7987994361234333,4.448512971433109,1.053480557407555,0.19547038888499849,0.7987994361234332,-0.33948702856689117,1.0534805574075548,0.9096919655485726,1.0231614208089297,0.15665745816308846,0.2066045353619895,0.15665745816308843,0.20660453536198947,0.20065846347154045,2.416,4.788
2,26,3.305788712659214,1.5140448186882565,6.906933188904716,1.5605582973350571,0.5167887126592134,1.5140448186882562,-0.8580668110952833,1.5605582973350571,1.4626621525387795,1.8831360311667609,0.29692861826713346,0.30605066193117647,0.2969286182671334,0.30605066193117647,0.36931336037188406,2.789,7.765
3,26,6.500784767774553,0.8683473115600869,8.159997474712652,1.0462540047287219,0.07478476777455233,0.8683473115600867,-0.36700252528734645,1.0462540047287217,1.0058884746013665,0.9707138441868118,0.1702969187007968,0.20518729178024428,0.17029691870079677,0.20518729178024422,0.19037264744704693,6.426,8.527
4,26,8.589054211964296,0.8851141459287405,6.452841859207371,1.0394851923636832,-0.22794578803570398,0.8851141459287405,-0.26315814079262884,1.0394851923636832,0.90885680810206,1.0634636523409353,0.17358516545567923,0.20385981845973733,0.17358516545567923,0.20385981845973733,0.20856238135704164,8.817,6.716
5,26,4.782769737290726,0.8580828534342338,2.3396324522132437,0.9782575126459614,-0.11123026270927373,0.8580828534342338,0.3196324522132436,0.9782575126459616,0.8716568433981582,1.0110565881995826,0.16828389284386677,0.19185208255001915,0.16828389284386677,0.1918520825500192,0.19828451048370063,4.894,2.02
6,26,7.3977760642711985,1.3298356011183408,3.3251318922271045,1.421332471933038,-0.2612239357288011,1.3298356011183408,0.1401318922271042,1.4213324719330378,1.1509861794784593,1.5818592404187193,0.26080221846049273,0.2787462311419089,0.26080221846049273,0.27874623114190883,0.3102281205635427,7.659,3.185
