metric,n_subjects,mean,sd,se,median,min,max
ability_range,26,601.4230769230769,205.36897001775574,40.276168677191855,556.0,230.0,957.0
warmth_range,26,612.4615384615385,187.6079381623775,36.792943753648906,581.0,290.0,920.0
aspect_ratio,26,1.0539783970449774,0.24376283684908373,0.04780582545316201,1.0347110754414126,0.7096774193548387,2.130434782608696
